# temperature	SE	SE+SE
1.000000E+01	3.718904E+01	1.481405E+03
1.200000E+01	4.767936E+01	1.476160E+03
1.400000E+01	6.085757E+01	1.469571E+03
1.600000E+01	7.732422E+01	1.461338E+03
1.800000E+01	9.778428E+01	1.451108E+03
2.000000E+01	1.230541E+02	1.438473E+03
2.200000E+01	1.540641E+02	1.422968E+03
2.400000E+01	1.918534E+02	1.404073E+03
2.600000E+01	2.375548E+02	1.381223E+03
2.800000E+01	2.923641E+02	1.353818E+03
3.000000E+01	3.574899E+02	1.321255E+03
3.200000E+01	4.340805E+02	1.282960E+03
3.400000E+01	5.231233E+02	1.238438E+03
3.600000E+01	6.253179E+02	1.187341E+03
3.800000E+01	7.409284E+02	1.129536E+03
4.000000E+01	8.696268E+02	1.065187E+03
4.200000E+01	1.010352E+03	9.948239E+02
4.400000E+01	1.161215E+03	9.193924E+02
4.600000E+01	1.319488E+03	8.402559E+02
4.800000E+01	1.481712E+03	7.591439E+02
5.000000E+01	1.643936E+03	6.780321E+02
5.200000E+01	1.802072E+03	5.989641E+02
5.400000E+01	1.952311E+03	5.238446E+02
5.600000E+01	2.091511E+03	4.542446E+02
5.800000E+01	2.217475E+03	3.912627E+02
6.000000E+01	2.329057E+03	3.354715E+02
6.200000E+01	2.426099E+03	2.869507E+02
6.400000E+01	2.509234E+03	2.453832E+02
6.600000E+01	2.579635E+03	2.101827E+02
6.800000E+01	2.638763E+03	1.806183E+02
7.000000E+01	2.688170E+03	1.559149E+02
7.200000E+01	2.729351E+03	1.353247E+02
7.400000E+01	2.763665E+03	1.181676E+02
7.600000E+01	2.792300E+03	1.038502E+02
7.800000E+01	2.816262E+03	9.186908E+01
8.000000E+01	2.836389E+03	8.180542E+01
8.200000E+01	2.853370E+03	7.331510E+01
8.400000E+01	2.867764E+03	6.611779E+01
8.600000E+01	2.880028E+03	5.998608E+01
8.800000E+01	2.890528E+03	5.473586E+01
9.000000E+01	2.899564E+03	5.021800E+01
9.200000E+01	2.907377E+03	4.631155E+01
9.400000E+01	2.914164E+03	4.291809E+01
9.600000E+01	2.920085E+03	3.995727E+01
9.800000E+01	2.925274E+03	3.736319E+01
