Concentration (uM)	DH (kcal/mol)	DS (cal/mol/K)	Tm (C)	DH (kJ/mol)	DS (J/mol/K)
1	19.2	67.1	12.3	80.256	280.478
2	20	69.4	14.9	83.6	290.092
5	20.7	71.1	18.5	86.526	297.198
10	21.1	71.8	21.3	88.198	300.124
20	21.3	72	24.1	89.034	300.96
50	21.6	72	27.9	90.288	300.96
75	21.6	71.8	29.6	90.288	300.124
100	21.7	71.7	30.9	90.706	299.706
150	21.7	71.5	32.6	90.706	298.87
200	21.8	71.3	33.9	91.124	298.034
300	21.8	71	35.7	91.124	296.78
400	21.8	70.8	37	91.124	295.944
450	21.8	70.7	37.5	91.124	295.526
500	21.8	70.7	38	91.124	295.526
600	21.8	70.5	38.8	91.124	294.69
750	21.9	70.3	39.8	91.542	293.854
800	21.9	70.3	40.1	91.542	293.854
900	21.9	70.2	40.6	91.542	293.436
1000	21.9	70.1	41.1	91.542	293.018
1500	21.9	69.7	43	91.542	291.346
2000	21.9	69.5	44.3	91.542	290.51
3000	21.9	69.1	46.2	91.542	288.838

