# temperature	SE	SE+SE
1.000000E+01	1.585570E+02	1.420721E+03
1.200000E+01	1.884888E+02	1.405756E+03
1.400000E+01	2.231794E+02	1.388410E+03
1.600000E+01	2.631764E+02	1.368412E+03
1.800000E+01	3.090380E+02	1.345481E+03
2.000000E+01	3.613174E+02	1.319341E+03
2.200000E+01	4.205423E+02	1.289729E+03
2.400000E+01	4.871891E+02	1.256405E+03
2.600000E+01	5.616521E+02	1.219174E+03
2.800000E+01	6.442082E+02	1.177896E+03
3.000000E+01	7.349771E+02	1.132511E+03
3.200000E+01	8.338807E+02	1.083060E+03
3.400000E+01	9.406023E+02	1.029699E+03
3.600000E+01	1.054552E+03	9.727239E+02
3.800000E+01	1.174843E+03	9.125786E+02
4.000000E+01	1.300280E+03	8.498601E+02
4.200000E+01	1.429377E+03	7.853117E+02
4.400000E+01	1.560394E+03	7.198030E+02
4.600000E+01	1.691411E+03	6.542946E+02
4.800000E+01	1.820420E+03	5.897899E+02
5.000000E+01	1.945447E+03	5.272767E+02
5.200000E+01	2.064670E+03	4.676650E+02
5.400000E+01	2.176541E+03	4.117294E+02
5.600000E+01	2.279872E+03	3.600639E+02
5.800000E+01	2.373888E+03	3.130562E+02
6.000000E+01	2.458233E+03	2.708835E+02
6.200000E+01	2.532942E+03	2.335289E+02
6.400000E+01	2.598372E+03	2.008141E+02
6.600000E+01	2.655121E+03	1.724393E+02
6.800000E+01	2.703947E+03	1.480265E+02
7.000000E+01	2.745685E+03	1.271574E+02
7.200000E+01	2.781190E+03	1.094051E+02
7.400000E+01	2.811286E+03	9.435699E+01
7.600000E+01	2.836741E+03	8.162967E+01
7.800000E+01	2.858245E+03	7.087747E+01
8.000000E+01	2.876409E+03	6.179553E+01
8.200000E+01	2.891761E+03	5.411958E+01
8.400000E+01	2.904753E+03	4.762350E+01
8.600000E+01	2.915769E+03	4.211567E+01
8.800000E+01	2.925130E+03	3.743493E+01
9.000000E+01	2.933107E+03	3.344637E+01
9.200000E+01	2.939925E+03	3.003751E+01
9.400000E+01	2.945770E+03	2.711477E+01
9.600000E+01	2.950799E+03	2.460036E+01
9.800000E+01	2.955141E+03	2.242968E+01
