Display Setting,Diameter

Item,Value,Unit
Y16SE6-1mM-NP500nm-0.1pct_3643.nsz,,
Measurement Results,,
Date,2025”N3ŒŽ17“ú 14:59:58,
Measurement Type,Particle Size,
Sample Name,Y16SE6-1mM-NP500nm-0.1pct,
Scattering Angle,90,
Temperature of the Holder,66.9,°C
Dispersion Medium Viscosity,0.426,mPa·s
Transmission Intensity before Meas.,20433,
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,2262,kCPS
Calculation Results,,
Peak1 S.P.Area Ratio,1.00,
Peak2 S.P.Area Ratio,---,
Peak3 S.P.Area Ratio,---,
Total Area Ratio,1.00,
Peak1 Size (Mean),1062.3,nm
Peak2 Size (Mean),---,nm
Peak3 Size (Mean),---,nm
Total Mean,1062.3,nm
Peak1 S. D.,251.9,nm
Peak2 S. D.,---,nm
Peak3 S. D.,---,nm
Total S. D.,251.9,nm
Peak1 Mode,1005.5,nm
Peak2 Mode,---,nm
Peak3 Mode,---,nm
Total Mode,1005.5,nm
Cumulant Operations,,
Z-Average,1008.3,nm
PI,0.112,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.996366,0.996322
2,0.995151,0.995134
3,0.993517,0.993585
4,0.991666,0.991563
5,0.989056,0.989019
6,0.985968,0.985956
7,0.982157,0.98228
8,0.977734,0.977885
9,0.972706,0.972723
10,0.966937,0.966814
11,0.960275,0.96008
12,0.952305,0.952164
13,0.942298,0.942318
14,0.929241,0.929429
15,0.911874,0.912133
16,0.88867,0.888849
17,0.857722,0.857712
18,0.816794,0.816556
19,0.763465,0.763052
20,0.695513,0.695066
21,0.611519,0.61134
22,0.511493,0.512565
23,0.400675,0.402721
24,0.290255,0.290076
25,0.192343,0.186662
26,0.12312,0
27,0.0903138,0
28,0.0689236,0
29,0.0376543,0
30,0.01,0
31,0.01,0
32,0.03365,0
33,0.0146967,0
34,0.0506385,0
35,0.0230838,0
36,0.01,0


