Display Setting,Diameter

Item,Value,Unit
Y16SE6-1mM-NP500nm-0.1pct_3664.nsz,,
Measurement Results,,
Date,2025”N3ŒŽ17“ú 16:12:52,
Measurement Type,Particle Size,
Sample Name,Y16SE6-1mM-NP500nm-0.1pct,
Scattering Angle,90,
Temperature of the Holder,63.0,°C
Dispersion Medium Viscosity,0.451,mPa·s
Transmission Intensity before Meas.,19718,
Distribution Form,Standard,
Distribution Form(Dispersity),Monodisperse,
Representation of Result,Scattering Light Intensity,
Count Rate,1090,kCPS
Calculation Results,,
Peak1 S.P.Area Ratio,1.00,
Peak2 S.P.Area Ratio,---,
Peak3 S.P.Area Ratio,---,
Total Area Ratio,1.00,
Peak1 Size (Mean),1879.3,nm
Peak2 Size (Mean),---,nm
Peak3 Size (Mean),---,nm
Total Mean,1879.3,nm
Peak1 S. D.,867.2,nm
Peak2 S. D.,---,nm
Peak3 S. D.,---,nm
Total S. D.,867.2,nm
Peak1 Mode,1448.6,nm
Peak2 Mode,---,nm
Peak3 Mode,---,nm
Total Mode,1448.6,nm
Cumulant Operations,,
Z-Average,1824.2,nm
PI,0.365,
Molecular Weight Measurement,,
Molecular Weight,---,
Parameters for Molecular Weight Calculation,---,

Delay Time       (µs),Correlation g1(T),Fitting Function g1(T)
1,0.992634,0.992547
2,0.990995,0.99098
3,0.988871,0.98892
4,0.986198,0.986207
5,0.982803,0.982782
6,0.978644,0.978688
7,0.973901,0.973886
8,0.968419,0.9684
9,0.962423,0.962411
10,0.956278,0.956245
11,0.950131,0.950132
12,0.943946,0.944001
13,0.937356,0.93742
14,0.929739,0.929732
15,0.920276,0.92023
16,0.908236,0.908107
17,0.892279,0.892271
18,0.871214,0.871269
19,0.84325,0.843363
20,0.806473,0.806625
21,0.759086,0.759075
22,0.699227,0.698992
23,0.625915,0.625548
24,0.539653,0.539746
25,0.445238,0.445483
26,0.348887,0.350118
27,0.264092,0.263521
28,0.196331,0.194739
29,0.163751,0
30,0.111407,0
31,0.0928446,0
32,0.0909391,0
33,0.0739479,0
34,0.0494788,0
35,0.00784674,0
36,0.01,0


