Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	7.13E+1	1E-1	6.78E0	6.15E+1	9.08	25	2.5E0	9.94E-1
2	9.62E+1	1.47E-1	1.4E+1	8.85E+1	6.34	25	3.64E0	9.99E-1
3	1.21E+2	2.15E-1	2.88E+1	1.26E+2	4.37	25	5.29E0	1.01E0
4	1.38E+2	3.16E-1	5.65E+1	1.73E+2	3.07	25	7.45E0	1E0
5	1.5E+2	4.64E-1	1.04E+2	2.29E+2	2.19	25	1.02E+1	1E0
6	1.59E+2	6.81E-1	1.78E+2	2.81E+2	1.59	25	1.35E+1	1E0
7	1.65E+2	1E0	2.73E+2	3.2E+2	1.17	25	1.71E+1	9.99E-1
8	1.74E+2	1.47E0	3.79E+2	3.34E+2	0.881	25	2.06E+1	1E0
9	1.81E+2	2.15E0	4.84E+2	3.25E+2	0.672	25	2.37E+1	1E0
10	1.88E+2	3.16E0	5.75E+2	2.99E+2	0.52	25	2.64E+1	1E0
11	1.96E+2	4.64E0	6.47E+2	2.63E+2	0.407	25	2.84E+1	1E0
12	2.03E+2	6.81E0	6.98E+2	2.27E+2	0.325	25	2.99E+1	1E0
13	2.1E+2	1E+1	7.26E+2	1.94E+2	0.267	25	3.06E+1	1E0
