Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	7.13E+1	1E-1	5.77E0	4.89E+1	8.48	24.9	1.99E0	9.94E-1
2	9.62E+1	1.47E-1	1.12E+1	6.98E+1	6.23	25	2.88E0	1E0
3	1.21E+2	2.15E-1	2.27E+1	9.84E+1	4.33	25	4.14E0	1.01E0
4	1.38E+2	3.16E-1	4.45E+1	1.35E+2	3.04	25	5.81E0	1E0
5	1.5E+2	4.64E-1	8.13E+1	1.77E+2	2.18	25	7.94E0	1E0
6	1.59E+2	6.81E-1	1.38E+2	2.18E+2	1.59	25	1.05E+1	9.99E-1
7	1.65E+2	1E0	2.11E+2	2.48E+2	1.17	25	1.32E+1	9.99E-1
8	1.74E+2	1.47E0	2.94E+2	2.6E+2	0.883	25	1.6E+1	1E0
9	1.81E+2	2.15E0	3.75E+2	2.53E+2	0.673	25	1.84E+1	1E0
10	1.88E+2	3.16E0	4.47E+2	2.33E+2	0.522	25	2.05E+1	1E0
11	1.96E+2	4.64E0	5.06E+2	2.07E+2	0.409	25	2.22E+1	1E0
12	2.03E+2	6.81E0	5.52E+2	1.78E+2	0.323	25	2.36E+1	1E0
13	2.1E+2	1E+1	5.86E+2	1.53E+2	0.261	25	2.46E+1	1E0
