Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	7.13E+1	1E-1	1.04E+1	7.86E+1	7.58	25	3.21E0	9.96E-1
2	1.03E+2	1.47E-1	2.13E+1	1.12E+2	5.27	25	4.65E0	9.99E-1
3	1.28E+2	2.15E-1	4.29E+1	1.57E+2	3.67	25	6.68E0	1.01E0
4	1.45E+2	3.16E-1	8.25E+1	2.13E+2	2.58	25	9.3E0	1E0
5	1.57E+2	4.64E-1	1.46E+2	2.71E+2	1.85	25	1.26E+1	1E0
6	1.66E+2	6.81E-1	2.37E+2	3.21E+2	1.35	25	1.63E+1	1E0
7	1.73E+2	1E0	3.45E+2	3.48E+2	1.01	25	2E+1	1E0
8	1.82E+2	1.47E0	4.59E+2	3.5E+2	0.763	25	2.35E+1	1E0
9	1.88E+2	2.15E0	5.63E+2	3.3E+2	0.585	25	2.66E+1	1E0
10	1.95E+2	3.16E0	6.5E+2	2.95E+2	0.453	25	2.91E+1	1E0
11	2.03E+2	4.64E0	7.17E+2	2.56E+2	0.357	25	3.1E+1	1E0
12	2.1E+2	6.81E0	7.63E+2	2.18E+2	0.285	25	3.23E+1	1E0
13	2.17E+2	1E+1	7.84E+2	1.84E+2	0.235	25	3.28E+1	1E0
