Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	8.17E+1	1E-1	1.34E+1	8.34E+1	6.24	25	3.47E0	1.01E0
2	2E+2	1.58E-1	0	0	0	25	0	-1.9999998E+41
3	2.56E+2	2.51E-1	6.83E+1	1.84E+2	2.69	25	7.93E0	9.94E-1
4	2.79E+2	3.98E-1	1.36E+2	2.46E+2	1.81	25	1.13E+1	9.91E-1
5	2.88E+2	6.31E-1	2.36E+2	2.97E+2	1.26	25	1.55E+1	1E0
6	2.94E+2	1E0	3.56E+2	3.2E+2	0.898	25	1.95E+1	1E0
7	3.09E+2	1.58E0	4.78E+2	3.11E+2	0.651	25	2.32E+1	1E0
8	3.22E+2	2.51E0	5.82E+2	2.78E+2	0.477	25	2.62E+1	1E0
9	3.36E+2	3.98E0	6.65E+2	2.35E+2	0.353	25	2.87E+1	1E0
10	3.49E+2	6.31E0	7.28E+2	1.92E+2	0.264	25	3.06E+1	1E0
11	3.62E+2	1E+1	7.78E+2	1.57E+2	0.201	25	3.22E+1	9.99E-1
