Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	9.19E+1	1E-1	1.31E+2	2.3E+2	1.75	20	1.08E+1	1E0
2	1.32E+2	1.58E-1	2.22E+2	2.82E+2	1.27	20	1.45E+1	9.95E-1
3	1.53E+2	2.51E-1	3.34E+2	3.14E+2	0.942	20	1.87E+1	1E0
4	1.67E+2	3.98E-1	4.54E+2	3.19E+2	0.704	20	2.25E+1	9.96E-1
5	1.74E+2	6.31E-1	5.65E+2	2.99E+2	0.529	20	2.62E+1	1.01E0
6	1.79E+2	1E0	6.61E+2	2.65E+2	0.401	20	2.89E+1	9.98E-1
7	1.86E+2	1.58E0	7.36E+2	2.24E+2	0.304	20	3.14E+1	1E0
8	1.94E+2	2.51E0	7.98E+2	1.86E+2	0.233	20	3.34E+1	1E0
9	2.03E+2	3.98E0	8.45E+2	1.52E+2	0.18	20	3.49E+1	1E0
10	2.11E+2	6.31E0	8.86E+2	1.23E+2	0.139	20	3.64E+1	9.99E-1
11	2.19E+2	1E+1	9.27E+2	1.02E+2	0.11	20	3.8E+1	1E0
