Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	8.17E+1	1E-1	1.19E+1	8.04E+1	6.77	25	3.33E0	1.01E0
2	1.21E+2	1.58E-1	2.77E+1	1.24E+2	4.45	25	5.15E0	9.99E-1
3	1.43E+2	2.51E-1	6.13E+1	1.82E+2	2.96	25	7.85E0	1.01E0
4	1.57E+2	3.98E-1	1.25E+2	2.49E+2	1.99	25	1.14E+1	1E0
5	1.66E+2	6.31E-1	2.26E+2	3.08E+2	1.37	25	1.56E+1	1E0
6	1.74E+2	1E0	3.52E+2	3.4E+2	0.965	25	1.99E+1	9.98E-1
7	1.82E+2	1.58E0	4.83E+2	3.36E+2	0.695	25	2.4E+1	1E0
8	1.9E+2	2.51E0	5.97E+2	3.04E+2	0.509	25	2.73E+1	1E0
9	1.99E+2	3.98E0	6.84E+2	2.59E+2	0.379	25	2.98E+1	1E0
10	2.07E+2	6.31E0	7.44E+2	2.14E+2	0.287	25	3.15E+1	1E0
11	2.15E+2	1E+1	7.74E+2	1.75E+2	0.226	25	3.23E+1	1E0
