Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	8.52E+2	1E-2	2.85E0	3.53E+1	12.4	20	1.42E0	9.86E-1
2	1.07E+3	1.58E-2	6.35E0	5.56E+1	8.76	20	2.23E0	9.81E-1
3	1.21E+3	2.51E-2	1.5E+1	8.64E+1	5.77	20	3.61E0	1.01E0
4	1.3E+3	3.98E-2	3.4E+1	1.3E+2	3.83	20	5.51E0	1.01E0
5	1.36E+3	6.31E-2	7.24E+1	1.88E+2	2.6	20	8.27E0	1.01E0
6	1.4E+3	1E-1	1.4E+2	2.51E+2	1.79	20	1.17E+1	1E0
7	1.43E+3	1.58E-1	2.4E+2	3.03E+2	1.26	20	1.58E+1	1E0
8	1.45E+3	2.51E-1	3.61E+2	3.31E+2	0.918	20	1.99E+1	1E0
9	1.46E+3	3.98E-1	4.86E+2	3.29E+2	0.676	20	2.4E+1	1E0
10	1.47E+3	6.31E-1	5.98E+2	3.02E+2	0.505	20	2.74E+1	1E0
11	1.48E+3	1E0	6.9E+2	2.62E+2	0.379	20	3.01E+1	1E0
12	1.49E+3	1.58E0	7.62E+2	2.18E+2	0.286	20	3.23E+1	1E0
13	1.49E+3	2.51E0	8.15E+2	1.78E+2	0.218	20	3.4E+1	1E0
14	1.5E+3	3.98E0	8.52E+2	1.45E+2	0.17	20	3.52E+1	1E0
15	1.51E+3	6.31E0	8.76E+2	1.2E+2	0.137	20	3.6E+1	1E0
16	1.52E+3	1E+1	8.83E+2	1.02E+2	0.115	20	3.61E+1	9.99E-1
