Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	9.21E+1	1E-1	1.38E+2	2.38E+2	1.73	20	1.12E+1	1E0
2	1.32E+2	1.58E-1	2.3E+2	2.87E+2	1.25	20	1.49E+1	9.96E-1
3	1.53E+2	2.51E-1	3.44E+2	3.15E+2	0.918	20	1.91E+1	1.01E0
4	1.67E+2	3.98E-1	4.62E+2	3.16E+2	0.685	20	2.27E+1	9.98E-1
5	1.74E+2	6.31E-1	5.72E+2	2.94E+2	0.514	20	2.63E+1	1.01E0
6	1.79E+2	1E0	6.63E+2	2.56E+2	0.387	20	2.89E+1	1E0
7	1.87E+2	1.58E0	7.34E+2	2.15E+2	0.293	20	3.12E+1	1E0
8	1.94E+2	2.51E0	7.88E+2	1.77E+2	0.224	20	3.29E+1	1E0
9	2.04E+2	3.98E0	8.27E+2	1.44E+2	0.174	20	3.42E+1	1E0
10	2.12E+2	6.31E0	8.54E+2	1.18E+2	0.138	20	3.51E+1	1E0
11	2.19E+2	1E+1	8.7E+2	9.95E+1	0.114	20	3.56E+1	1E0
