Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	8.17E+1	1E-1	2.35E+1	1.08E+2	4.59	25	4.5E0	1E0
2	2E+2	1.58E-1	0	0	0	25	0	-1.9999998E+41
3	2.56E+2	2.51E-1	1.06E+2	2.21E+2	2.09	25	9.86E0	9.9E-1
4	2.79E+2	3.98E-1	1.91E+2	2.79E+2	1.46	25	1.36E+1	9.91E-1
5	2.88E+2	6.31E-1	3.04E+2	3.18E+2	1.05	25	1.79E+1	1E0
6	2.94E+2	1E0	4.29E+2	3.27E+2	0.761	25	2.2E+1	1E0
7	3.09E+2	1.58E0	5.47E+2	3.05E+2	0.559	25	2.55E+1	1E0
8	3.22E+2	2.51E0	6.43E+2	2.67E+2	0.415	25	2.83E+1	1E0
9	3.36E+2	3.98E0	7.15E+2	2.22E+2	0.311	25	3.05E+1	1E0
10	3.49E+2	6.31E0	7.63E+2	1.8E+2	0.236	25	3.19E+1	1E0
11	3.62E+2	1E+1	7.85E+2	1.46E+2	0.186	25	3.25E+1	1E0
