Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	7.13E+1	1E-1	8E0	6.74E+1	8.43	25	2.75E0	9.95E-1
2	1.11E+2	1.58E-1	1.9E+1	1.04E+2	5.48	25	4.31E0	1E0
3	1.32E+2	2.51E-1	4.39E+1	1.56E+2	3.56	25	6.65E0	1.01E0
4	1.46E+2	3.98E-1	9.43E+1	2.22E+2	2.35	25	9.87E0	1.01E0
5	1.56E+2	6.31E-1	1.8E+2	2.88E+2	1.6	25	1.38E+1	1E0
6	1.62E+2	1E0	2.99E+2	3.32E+2	1.11	25	1.82E+1	1E0
7	1.7E+2	1.58E0	4.32E+2	3.41E+2	0.791	25	2.24E+1	1E0
8	1.78E+2	2.51E0	5.53E+2	3.18E+2	0.576	25	2.59E+1	1E0
9	1.87E+2	3.98E0	6.48E+2	2.77E+2	0.428	25	2.87E+1	1E0
10	1.95E+2	6.31E0	7.13E+2	2.31E+2	0.325	25	3.05E+1	1E0
11	2.02E+2	1E+1	7.4E+2	1.9E+2	0.257	25	3.11E+1	1E0
