Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	8.17E+1	1E-1	1.64E+1	9.26E+1	5.63	25	3.85E0	1.01E0
2	1.14E+2	1.47E-1	3.22E+1	1.3E+2	4.05	25	5.46E0	9.98E-1
3	1.38E+2	2.15E-1	6.18E+1	1.79E+2	2.89	25	7.73E0	1E0
4	1.56E+2	3.16E-1	1.12E+2	2.34E+2	2.09	25	1.06E+1	1E0
5	1.68E+2	4.64E-1	1.87E+2	2.86E+2	1.53	25	1.39E+1	1E0
6	1.77E+2	6.81E-1	2.83E+2	3.23E+2	1.14	25	1.76E+1	1.01E0
7	1.83E+2	1E0	3.9E+2	3.37E+2	0.863	25	2.1E+1	1E0
8	1.92E+2	1.47E0	4.97E+2	3.27E+2	0.659	25	2.42E+1	1E0
9	1.99E+2	2.15E0	5.91E+2	3E+2	0.508	25	2.7E+1	1E0
10	2.06E+2	3.16E0	6.68E+2	2.64E+2	0.396	25	2.92E+1	1E0
11	2.13E+2	4.64E0	7.3E+2	2.26E+2	0.309	25	3.11E+1	1E0
12	2.21E+2	6.81E0	7.77E+2	1.9E+2	0.245	25	3.26E+1	1E0
13	2.29E+2	1E+1	8.15E+2	1.61E+2	0.197	25	3.38E+1	1E0
