Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	2.52E+4	3E-4	6.33E0	5.35E+1	8.46	10	1.93E0	8.82E-1
2	3.47E+4	4.72E-4	1.63E+1	8.73E+1	5.36	10	3.54E0	9.81E-1
3	3.94E+4	7.42E-4	3.69E+1	1.34E+2	3.65	10	5.65E0	9.97E-1
4	4.24E+4	1.17E-3	7.85E+1	1.95E+2	2.48	10	8.47E0	9.91E-1
5	4.43E+4	1.84E-3	1.47E+2	2.6E+2	1.77	10	1.21E+1	9.94E-1
6	4.56E+4	2.89E-3	2.45E+2	3.19E+2	1.3	10	1.63E+1	1E0
7	4.63E+4	4.54E-3	3.68E+2	3.57E+2	0.971	10	2.1E+1	1.01E0
8	4.68E+4	7.14E-3	5.01E+2	3.68E+2	0.735	10	2.53E+1	1E0
9	4.71E+4	1.12E-2	6.28E+2	3.53E+2	0.562	10	2.94E+1	1E0
10	4.73E+4	1.77E-2	7.41E+2	3.25E+2	0.438	10	3.29E+1	1E0
11	4.74E+4	2.78E-2	8.36E+2	2.85E+2	0.34	10	3.61E+1	1.01E0
12	4.75E+4	4.37E-2	9.11E+2	2.44E+2	0.268	10	3.85E+1	1E0
13	4.75E+4	6.87E-2	9.71E+2	2.07E+2	0.214	10	4.04E+1	9.99E-1
14	4.75E+4	1.08E-1	1.02E+3	1.77E+2	0.174	10	4.2E+1	9.97E-1
15	4.76E+4	1.7E-1	1.06E+3	1.54E+2	0.145	10	4.35E+1	9.99E-1
16	4.76E+4	2.67E-1	1.09E+3	1.39E+2	0.127	10	4.48E+1	9.98E-1
17	4.76E+4	4.2E-1	1.13E+3	1.29E+2	0.114	10	4.61E+1	9.98E-1
18	4.76E+4	6.61E-1	1.16E+3	1.22E+2	0.106	10	4.74E+1	9.99E-1
19	4.76E+4	1.04E0	1.19E+3	1.18E+2	0.0992	10	4.87E+1	1E0
20	4.76E+4	1.63E0	1.22E+3	1.13E+2	0.0924	10	5E+1	9.99E-1
21	4.76E+4	2.57E0	1.26E+3	1.09E+2	0.087	10	5.13E+1	1E0
22	4.77E+4	4.04E0	1.28E+3	1.04E+2	0.0812	10	5.23E+1	1E0
23	4.77E+4	6.36E0	1.3E+3	1.01E+2	0.0777	10	5.3E+1	1E0
24	4.77E+4	1E+1	1.3E+3	1.01E+2	0.0777	10	5.31E+1	1E0
