Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	7.13E+1	1E-1	7.3E0	5.85E+1	8.02	25	2.39E0	9.97E-1
2	1.11E+2	1.58E-1	1.74E+1	9.06E+1	5.2	25	3.75E0	9.98E-1
3	1.32E+2	2.51E-1	3.89E+1	1.35E+2	3.48	25	5.77E0	1.01E0
4	1.46E+2	3.98E-1	8.25E+1	1.92E+2	2.32	25	8.53E0	1E0
5	1.56E+2	6.31E-1	1.56E+2	2.48E+2	1.59	25	1.2E+1	1E0
6	1.62E+2	1E0	2.57E+2	2.89E+2	1.12	25	1.58E+1	1E0
7	1.7E+2	1.58E0	3.72E+2	3.01E+2	0.808	25	1.95E+1	1E0
8	1.78E+2	2.51E0	4.81E+2	2.84E+2	0.59	25	2.27E+1	1E0
9	1.87E+2	3.98E0	5.69E+2	2.48E+2	0.435	25	2.53E+1	1E0
10	1.95E+2	6.31E0	6.29E+2	2.06E+2	0.328	25	2.69E+1	1E0
11	2.02E+2	1E+1	6.57E+2	1.67E+2	0.255	25	2.76E+1	1E0
