Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	7.62E+3	1E-3	1.48E0	2.3E+1	15.5	15	9.11E-1	9.71E-1
2	9.55E+3	1.55E-3	3.15E0	3.63E+1	11.5	15	1.47E0	9.91E-1
3	1.1E+4	2.4E-3	7.06E0	5.68E+1	8.05	15	2.32E0	9.96E-1
4	1.19E+4	3.73E-3	1.56E+1	8.69E+1	5.56	15	3.59E0	9.98E-1
5	1.26E+4	5.78E-3	3.35E+1	1.29E+2	3.85	15	5.46E0	1E0
6	1.29E+4	8.96E-3	6.83E+1	1.84E+2	2.69	15	7.96E0	9.97E-1
7	1.32E+4	1.39E-2	1.29E+2	2.45E+2	1.89	15	1.13E+1	1E0
8	1.34E+4	2.15E-2	2.18E+2	3.01E+2	1.38	15	1.51E+1	9.99E-1
9	1.35E+4	3.34E-2	3.3E+2	3.39E+2	1.03	15	1.94E+1	1.01E0
10	1.35E+4	5.18E-2	4.54E+2	3.53E+2	0.778	15	2.34E+1	1E0
11	1.36E+4	8.03E-2	5.75E+2	3.41E+2	0.594	15	2.73E+1	1E0
12	1.36E+4	1.25E-1	6.82E+2	3.12E+2	0.458	15	3.07E+1	1.01E0
13	1.36E+4	1.93E-1	7.71E+2	2.73E+2	0.355	15	3.33E+1	1E0
14	1.36E+4	2.99E-1	8.41E+2	2.33E+2	0.276	15	3.54E+1	9.98E-1
15	1.37E+4	4.64E-1	8.98E+2	1.95E+2	0.218	15	3.74E+1	9.99E-1
16	1.37E+4	7.2E-1	9.41E+2	1.64E+2	0.174	15	3.89E+1	1E0
17	1.37E+4	1.12E0	9.76E+2	1.38E+2	0.142	15	4E+1	9.98E-1
18	1.37E+4	1.73E0	1.01E+3	1.19E+2	0.119	15	4.12E+1	1E0
19	1.37E+4	2.68E0	1.03E+3	1.06E+2	0.103	15	4.21E+1	1E0
20	1.37E+4	4.16E0	1.05E+3	9.62E+1	0.0915	15	4.29E+1	9.99E-1
21	1.37E+4	6.45E0	1.07E+3	9E+1	0.0844	15	4.36E+1	1E0
22	1.37E+4	1E+1	1.07E+3	8.71E+1	0.0813	15	4.38E+1	1E0

