Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	6.09E+1	1E-1	3.59E-1	9.09E0	25.3	30	3.69E-1	9.97E-1
2	8.72E+1	1.58E-1	7.84E-1	1.44E+1	18.4	30	5.87E-1	1E0
3	1.09E+2	2.51E-1	1.52E0	2.27E+1	14.9	30	9.26E-1	1E0
4	1.23E+2	3.98E-1	3.42E0	3.56E+1	10.4	30	1.46E0	1E0
5	1.32E+2	6.31E-1	7.92E0	5.56E+1	7.01	30	2.29E0	1E0
6	1.38E+2	1E0	1.83E+1	8.52E+1	4.66	30	3.55E0	1E0
7	1.47E+2	1.58E0	4.1E+1	1.25E+2	3.06	30	5.37E0	1E0
8	1.53E+2	2.51E0	8.4E+1	1.73E+2	2.06	30	7.82E0	1E0
9	1.61E+2	3.98E0	1.51E+2	2.14E+2	1.42	30	1.07E+1	1E0
10	1.68E+2	6.31E0	2.34E+2	2.36E+2	1.01	30	1.35E+1	1E0
11	1.74E+2	1E+1	3.07E+2	2.31E+2	0.752	30	1.57E+1	1E0
