Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	7.13E+1	1E-1	7.59E0	5.69E+1	7.5	25	2.34E0	1E0
2	1.11E+2	1.58E-1	1.79E+1	8.73E+1	4.87	25	3.62E0	9.98E-1
3	1.32E+2	2.51E-1	4.01E+1	1.29E+2	3.22	25	5.55E0	1.01E0
4	1.46E+2	3.98E-1	8.2E+1	1.8E+2	2.19	25	8.09E0	1E0
5	1.56E+2	6.31E-1	1.5E+2	2.31E+2	1.54	25	1.13E+1	1E0
6	1.62E+2	1E0	2.43E+2	2.68E+2	1.1	25	1.48E+1	1E0
7	1.7E+2	1.58E0	3.5E+2	2.81E+2	0.803	25	1.83E+1	1E0
8	1.78E+2	2.51E0	4.53E+2	2.68E+2	0.591	25	2.14E+1	9.99E-1
9	1.87E+2	3.98E0	5.41E+2	2.36E+2	0.436	25	2.4E+1	1E0
10	1.95E+2	6.31E0	6.11E+2	1.97E+2	0.323	25	2.61E+1	1E0
11	2.02E+2	1E+1	6.64E+2	1.6E+2	0.242	25	2.78E+1	1E0
