Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	172	0.05	30.5	115	25	3.77	0.00479
2	231	0.0778	64.5	162	25	2.52	0.00712
3	261	0.121	124	212	25	1.72	0.0101
4	289	0.188	208	250	25	1.2	0.0133
5	308	0.292	306	264	25	0.861	0.0164
6	320	0.455	400	252	25	0.63	0.0192
7	327	0.707	479	221	25	0.461	0.0215
8	334	1.1	541	189	25	0.35	0.0232
9	340	1.71	589	155	25	0.263	0.0248
10	347	2.66	624	125	25	0.2	0.0259
11	355	4.14	648	99.6	25	0.154	0.0267
12	363	6.43	662	79.5	25	0.12	0.0271
13	370	10	663	65	25	0.0981	0.0271




