Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	172	0.05	21.3	110	25	5.16	0.00451
2	231	0.0778	47.7	162	25	3.4	0.00692
3	261	0.121	99.6	225	25	2.26	0.0101
4	289	0.188	186	286	25	1.54	0.014
5	308	0.292	302	324	25	1.07	0.0181
6	320	0.455	428	326	25	0.762	0.0219
7	328	0.707	539	297	25	0.551	0.0251
8	335	1.1	629	254	25	0.404	0.0277
9	342	1.71	695	207	25	0.298	0.0295
10	349	2.66	741	165	25	0.222	0.0309
11	357	4.14	772	129	25	0.166	0.0318
12	365	6.43	788	100	25	0.127	0.0323
13	372	10	786	78.9	25	0.1	0.0321
