Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	2.82	31.5	30	11.2	0.00129
2	104	0.158	6.9	48.9	30	7.08	0.00201
3	126	0.251	16.2	74.7	30	4.62	0.00312
4	140	0.398	36.4	110	30	3.02	0.00474
5	149	0.631	76	151	30	1.99	0.00688
6	155	1	139	186	30	1.34	0.00944
7	164	1.58	217	202	30	0.929	0.0121
8	171	2.51	294	193	30	0.658	0.0143
9	181	3.98	358	170	30	0.475	0.0161
10	188	6.31	405	141	30	0.347	0.0175
11	195	10	439	114	30	0.26	0.0185






