Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	61	0.1	2.6	27.3	30	10.5	0.00111
2	179	0.158	0	0	30	0	0
3	222	0.251	13.2	66.5	30	5.06	0.00273
4	236	0.398	29.9	99.5	30	3.33	0.00418
5	245	0.631	63.8	139	30	2.19	0.00628
6	252	1	120	177	30	1.47	0.00874
7	267	1.58	196	197	30	1.01	0.0113
8	280	2.51	273	194	30	0.711	0.0136
9	294	3.98	337	173	30	0.512	0.0154
10	308	6.31	381	144	30	0.379	0.0166
11	320	10	400	117	30	0.293	0.0169





