Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	5.38	40.2	30	7.46	0.00165
2	104	0.158	12	62.2	30	5.2	0.00257
3	126	0.251	26.8	93.7	30	3.49	0.00399
4	140	0.398	57.3	133	30	2.32	0.00592
5	149	0.631	110	172	30	1.57	0.00835
6	155	1	183	196	30	1.07	0.011
7	164	1.58	263	199	30	0.756	0.0135
8	171	2.51	334	180	30	0.539	0.0155
9	181	3.98	391	153	30	0.39	0.0171
10	188	6.31	437	125	30	0.285	0.0185
11	195	10	479	100	30	0.21	0.0199











