Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	16.1	71.9	30	4.48	0.00301
2	111	0.158	32.7	108	30	3.3	0.00459
3	132	0.251	67.5	154	30	2.29	0.0069
4	146	0.398	128	201	30	1.56	0.00974
5	156	0.631	213	230	30	1.08	0.0129
6	162	1	306	233	30	0.761	0.0157
7	170	1.58	388	212	30	0.546	0.0181
8	179	2.51	455	182	30	0.4	0.0199
9	188	3.98	501	149	30	0.297	0.0213
10	197	6.31	534	120	30	0.224	0.0223
11	204	10	552	96.5	30	0.175	0.0228












