Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	60.9	0.1	2.15	26.2	30	12.2	0.00106
2	179	0.158	0	0	30	0	0
3	209	0.251	11.8	62	30	5.24	0.00258
4	223	0.398	27	92.7	30	3.44	0.00391
5	232	0.631	58	131	30	2.26	0.00585
6	239	1	111	167	30	1.51	0.00817
7	247	1.58	182	189	30	1.04	0.0107
8	254	2.51	257	188	30	0.73	0.0129
9	263	3.98	322	168	30	0.522	0.0148
10	272	6.31	373	142	30	0.38	0.0163
11	279	10	410	116	30	0.282	0.0174






