Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	10.4	62.6	30	6.03	0.00259
2	111	0.158	23.9	94.5	30	3.95	0.00396
3	132	0.251	52.8	136	30	2.58	0.006
4	146	0.398	105	181	30	1.72	0.00853
5	156	0.631	181	211	30	1.17	0.0114
6	162	1	267	219	30	0.822	0.0141
7	170	1.58	347	205	30	0.59	0.0165
8	178	2.51	413	178	30	0.431	0.0183
9	187	3.98	465	148	30	0.318	0.0198
10	195	6.31	507	120	30	0.236	0.0212
11	202	10	550	95.9	30	0.174	0.0227













