Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	8.57	26.8	30	3.13	0.00114
2	189	0.158	0	0	30	0	0
3	228	0.251	16.1	61.8	30	3.84	0.00256
4	242	0.398	30.6	91.2	30	2.98	0.00386
5	251	0.631	59.4	128	30	2.15	0.00576
6	258	1	109	162	30	1.49	0.00801
7	273	1.58	179	184	30	1.03	0.0104
8	285	2.51	254	184	30	0.725	0.0128
9	299	3.98	322	166	30	0.517	0.0147
10	313	6.31	380	141	30	0.371	0.0165
11	325	10	441	116	30	0.263	0.0186


