Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	3.86	33.3	30	8.61	0.00136
2	104	0.158	8.63	51.4	30	5.96	0.00212
3	126	0.251	19.6	78.2	30	3.99	0.00329
4	140	0.398	42.8	113	30	2.65	0.00495
5	149	0.631	85.9	152	30	1.77	0.00714
6	155	1	150	181	30	1.21	0.00963
7	164	1.58	225	189	30	0.839	0.012
8	171	2.51	297	177	30	0.596	0.0141
9	181	3.98	355	152	30	0.429	0.0157
10	188	6.31	403	125	30	0.311	0.0172
11	195	10	447	101	30	0.227	0.0187










