Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	50.6	0.1	0.327	2.23	35	6.84	0.0000917
2	169	0.158	0	0	35	0	0
3	186	0.251	0.444	5.55	35	12.5	0.000226
4	202	0.398	0.768	8.69	35	11.3	0.000355
5	212	0.631	1.29	13.6	35	10.6	0.000558
6	217	1	3.04	21.3	35	7	0.000879
7	224	1.58	6.46	32.9	35	5.08	0.00137
8	231	2.51	14.5	49.3	35	3.39	0.00209
9	241	3.98	31	69.7	35	2.25	0.0031
10	248	6.31	59.5	88.8	35	1.49	0.00435
11	254	10	97.1	99.8	35	1.03	0.00567






