Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	3.19	30.2	30	9.45	0.00123
2	104	0.158	7.33	47	30	6.41	0.00193
3	126	0.251	16.8	71.8	30	4.27	0.00301
4	140	0.398	37.4	105	30	2.82	0.00456
5	149	0.631	76.1	143	30	1.88	0.00661
6	157	1	136	173	30	1.28	0.00901
7	166	1.58	208	184	30	0.884	0.0113
8	174	2.51	280	175	30	0.626	0.0134
9	184	3.98	339	152	30	0.449	0.0151
10	191	6.31	388	126	30	0.324	0.0166
11	198	10	433	102	30	0.236	0.0181









