Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	60.9	0.1	1.42	23.6	30	16.7	0.000959
2	179	0.158	0	0	30	0	0
3	209	0.251	8.32	58.3	30	7.01	0.0024
4	220	0.398	19.8	89.2	30	4.51	0.00371
5	229	0.631	45.3	132	30	2.91	0.00567
6	237	1	94.4	179	30	1.9	0.00824
7	246	1.58	170	217	30	1.28	0.0112
8	253	2.51	261	229	30	0.877	0.0141
9	263	3.98	344	212	30	0.615	0.0164
10	270	6.31	405	180	30	0.444	0.018
11	277	10	435	145	30	0.334	0.0187

