Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	1490	0.005	86.3	153	20	1.77	0.00711
2	2070	0.00782	144	188	20	1.3	0.00961
3	2360	0.0122	217	208	20	0.962	0.0123
4	2540	0.0191	293	211	20	0.719	0.0147
5	2660	0.0299	364	199	20	0.548	0.0169
6	2710	0.0468	423	181	20	0.428	0.0188
7	2750	0.0731	472	161	20	0.342	0.0203
8	2780	0.114	515	142	20	0.275	0.0217
9	2810	0.179	550	124	20	0.226	0.0229
10	2830	0.28	581	108	20	0.185	0.024
11	2840	0.437	608	93.4	20	0.154	0.025
12	2850	0.684	629	80.4	20	0.128	0.0258
13	2860	1.07	649	68.1	20	0.105	0.0264
14	2870	1.67	665	59.5	20	0.0894	0.0271
15	2870	2.61	679	52.2	20	0.0769	0.0278
16	2880	4.09	693	47.6	20	0.0686	0.0283
17	2890	6.39	706	45.1	20	0.0638	0.0288
18	2900	10	727	44.7	20	0.0615	0.0296












