Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	50.6	0.1	0.241	1.53	35	6.37	0.0000631
2	76.8	0.158	0.282	2.43	35	8.62	0.0000996
3	93.8	0.251	0.347	3.8	35	11	0.000156
4	105	0.398	0.451	5.92	35	13.1	0.000244
5	112	0.631	0.864	9.41	35	10.9	0.000387
6	117	1	1.88	14.9	35	7.9	0.000613
7	124	1.58	4.11	23	35	5.59	0.000952
8	131	2.51	9.49	35.3	35	3.72	0.00148
9	140	3.98	21.2	52	35	2.45	0.00228
10	147	6.31	44.2	70.4	35	1.59	0.00338
11	154	10	84.6	84.4	35	0.998	0.00484
