Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	7.42	49.6	30	6.69	0.00205
2	111	0.158	16.6	76.3	30	4.6	0.00317
3	132	0.251	36.9	113	30	3.07	0.00487
4	146	0.398	76.7	157	30	2.04	0.00712
5	156	0.631	141	195	30	1.38	0.00984
6	162	1	224	213	30	0.955	0.0126
7	170	1.58	306	206	30	0.673	0.0151
8	179	2.51	377	183	30	0.485	0.0171
9	188	3.98	431	152	30	0.354	0.0186
10	197	6.31	471	123	30	0.262	0.0198
11	204	10	504	98.8	30	0.196	0.0209












