Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	1490	0.005	15	96.6	20	6.46	0.00396
2	1940	0.00782	34.6	146	20	4.21	0.00606
3	2230	0.0122	75	211	20	2.81	0.00911
4	2410	0.0191	149	283	20	1.91	0.0131
5	2530	0.0299	261	345	20	1.32	0.0176
6	2610	0.0468	399	375	20	0.938	0.0224
7	2660	0.0731	538	368	20	0.683	0.0266
8	2690	0.114	660	332	20	0.503	0.0302
9	2710	0.179	758	285	20	0.376	0.033
10	2730	0.28	832	236	20	0.284	0.0352
11	2740	0.437	888	193	20	0.217	0.0367
12	2750	0.684	931	154	20	0.166	0.0384
13	2760	1.07	961	121	20	0.126	0.0393
14	2760	1.67	986	94.9	20	0.0963	0.0403
15	2770	2.61	1000	75.7	20	0.0755	0.0409
16	2780	4.09	1010	61	20	0.0602	0.0413
17	2780	6.39	1020	50.7	20	0.0499	0.0414
18	2790	10	1010	45.6	20	0.0454	0.0409
