Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	60.9	0.1	3.1	30.1	30	9.7	0.00122
2	93.9	0.158	7.05	46.9	30	6.66	0.00193
3	115	0.251	16.3	71.6	30	4.39	0.003
4	129	0.398	36.4	105	30	2.88	0.00454
5	139	0.631	75.2	143	30	1.9	0.00657
6	145	1	134	174	30	1.3	0.00898
7	153	1.58	208	187	30	0.901	0.0114
8	161	2.51	279	178	30	0.636	0.0135
9	170	3.98	340	155	30	0.456	0.0152
10	178	6.31	388	129	30	0.332	0.0166
11	185	10	432	104	30	0.242	0.0181








