Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	1290	0.005	23.4	99.1	20	4.23	0.00412
2	1740	0.00782	48.6	145	20	2.98	0.00617
3	2030	0.0122	96.3	199	20	2.07	0.00904
4	2210	0.0191	172	250	20	1.45	0.0124
5	2330	0.0299	271	282	20	1.04	0.016
6	2410	0.0468	378	288	20	0.761	0.0194
7	2460	0.0731	477	270	20	0.566	0.0224
8	2480	0.114	560	240	20	0.428	0.0249
9	2500	0.179	626	205	20	0.328	0.0267
10	2520	0.28	677	171	20	0.253	0.0284
11	2530	0.437	719	142	20	0.198	0.0298
12	2540	0.684	749	117	20	0.156	0.0308
13	2550	1.07	775	95	20	0.123	0.0316
14	2560	1.67	795	76.6	20	0.0963	0.0325
15	2570	2.61	811	62.9	20	0.0776	0.0331
16	2570	4.09	821	52.3	20	0.0637	0.0335
17	2580	6.39	825	45.2	20	0.0549	0.0336
18	2590	10	822	42.5	20	0.0517	0.0335



