Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	60.9	0.1	1.42	22	30	15.5	0.000898
2	87.2	0.158	3.52	34.5	30	9.8	0.00141
3	109	0.251	8.08	53.9	30	6.67	0.00223
4	123	0.398	18.8	82.5	30	4.4	0.00345
5	132	0.631	41.9	121	30	2.89	0.00523
6	138	1	85.1	165	30	1.94	0.0076
7	147	1.58	154	203	30	1.32	0.0104
8	154	2.51	238	219	30	0.917	0.0132
9	164	3.98	319	208	30	0.653	0.0155
10	171	6.31	381	181	30	0.475	0.0171
11	178	10	411	148	30	0.361	0.0178
