Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	71.3	0.1	4.17	35.6	30	8.54	0.00146
2	104	0.158	9.59	55.4	30	5.77	0.00228
3	126	0.251	21.8	83.8	30	3.84	0.00354
4	140	0.398	47.7	121	30	2.53	0.0053
5	149	0.631	93.9	159	30	1.69	0.00752
6	157	1	161	187	30	1.16	0.0101
7	165	1.58	238	192	30	0.806	0.0125
8	172	2.51	310	178	30	0.575	0.0146
9	182	3.98	369	153	30	0.414	0.0162
10	190	6.31	416	125	30	0.302	0.0177
11	197	10	460	101	30	0.22	0.0191










