Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	60.8	0.1	2.86	30.5	30	10.7	0.00124
2	93.7	0.158	6.78	47.4	30	6.99	0.00195
3	115	0.251	16.1	72.5	30	4.52	0.00303
4	129	0.398	36	107	30	2.97	0.0046
5	138	0.631	75.1	146	30	1.95	0.0067
6	145	1	136	180	30	1.33	0.00916
7	153	1.58	211	194	30	0.918	0.0117
8	161	2.51	286	185	30	0.649	0.0139
9	170	3.98	348	162	30	0.466	0.0156
10	178	6.31	397	134	30	0.339	0.017
11	185	10	437	109	30	0.25	0.0183







