Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[mNm]
1	50.6	0.1	0.125	1.79	35	14.3	0.0000728
2	169	0.158	0	0	35	0	0
3	186	0.251	0.222	4.3	35	19.4	0.000175
4	197	0.398	0.361	6.79	35	18.8	0.000278
5	204	0.631	0.764	10.5	35	13.7	0.000433
6	209	1	1.64	16.8	35	10.2	0.00069
7	216	1.58	3.79	26.1	35	6.88	0.00108
8	223	2.51	8.55	40.4	35	4.72	0.00168
9	233	3.98	20.5	58.7	35	2.87	0.00253
10	241	6.31	42.3	80.6	35	1.9	0.0037
11	247	10	77	97.3	35	1.26	0.00505


