Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;0.176;0.964;0.01;1300;447;317;0.71;0.0304;25;3.94;WMa
2;0.988;6.05;0.0146;1610;535;298;0.556;0.171;25;24.7;
3;1.01;6.78;0.0213;1730;612;273;0.445;0.175;25;27.7;
4;0.994;7.16;0.031;1810;677;244;0.361;0.172;25;29.3;
5;1;7.68;0.0452;1870;734;215;0.292;0.174;25;31.4;
6;0.992;7.95;0.0659;1910;779;188;0.241;0.171;25;32.5;
7;1;8.35;0.096;1940;818;163;0.199;0.173;25;34.1;
8;0.999;8.62;0.14;1970;851;140;0.164;0.173;25;35.2;
9;0.994;8.81;0.204;1990;878;120;0.137;0.172;25;36;
10;0.998;9.05;0.298;2010;901;104;0.115;0.172;25;37;
11;0.999;9.23;0.434;2030;920;90;0.0979;0.173;25;37.8;
12;1.01;9.45;0.632;2040;936;79.1;0.0844;0.174;25;38.6;
13;1;9.55;0.922;2040;951;69.1;0.0726;0.173;25;39.1;
14;0.997;9.64;1.34;2050;965;62.1;0.0644;0.172;25;39.4;
15;0.997;9.75;1.96;2060;976;57.2;0.0586;0.172;25;39.9;
16;1;9.88;2.86;2060;986;54.4;0.0551;0.173;25;40.4;
17;1;9.98;4.17;2070;996;51.6;0.0518;0.173;25;40.8;
18;1;10;6.07;2080;1000;51;0.0509;0.173;25;41.1;
19;1;10.1;8.85;2090;1010;51.9;0.0516;0.173;25;41.2;
20;0.999;10;12.9;2100;1000;54.2;0.0541;0.173;25;41;
21;1;9.89;18.8;2110;987;56.9;0.0576;0.173;25;40.4;
22;1;9.5;27.4;2110;948;55.5;0.0585;0.173;25;38.9;
23;1;8.32;40;2120;830;55.3;0.0667;0.173;25;34;
