Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	7.59E+3	1E-3	8.77E-1	2.3E+1	26.3	40	9.08E-1	9.69E-1	2.23E-1
2	9.48E+3	1.58E-3	1.94E0	3.65E+1	18.9	40	1.5E0	1.01E0	3.69E-1
3	1.13E+4	2.51E-3	4.54E0	5.92E+1	13	40	2.37E0	9.82E-1	5.83E-1
4	1.24E+4	3.98E-3	1.14E+1	9.25E+1	8.09	40	3.81E0	1E0	9.36E-1
5	1.31E+4	6.31E-3	2.78E+1	1.43E+2	5.14	40	5.83E0	9.85E-1	1.43E0
6	1.35E+4	1E-2	6.25E+1	2.15E+2	3.44	40	9.21E0	1.01E0	2.26E0
7	1.37E+4	1.58E-2	1.39E+2	3.01E+2	2.17	40	1.34E+1	9.95E-1	3.3E0
8	1.39E+4	2.51E-2	2.61E+2	3.85E+2	1.48	40	1.88E+1	9.96E-1	4.63E0
9	1.4E+4	3.98E-2	4.17E+2	4.36E+2	1.05	40	2.45E+1	9.99E-1	6.03E0
10	1.4E+4	6.31E-2	5.88E+2	4.37E+2	0.743	40	2.98E+1	1E0	7.33E0
11	1.41E+4	1E-1	7.41E+2	4.08E+2	0.55	40	3.44E+1	9.99E-1	8.44E0
12	1.41E+4	1.58E-1	8.64E+2	3.58E+2	0.415	40	3.8E+1	9.99E-1	9.34E0
13	1.41E+4	2.51E-1	9.62E+2	3.02E+2	0.314	40	4.1E+1	9.99E-1	1.01E+1
14	1.41E+4	3.98E-1	1.04E+3	2.52E+2	0.242	40	4.35E+1	9.99E-1	1.07E+1
15	1.41E+4	6.31E-1	1.1E+3	2.09E+2	0.19	40	4.55E+1	9.99E-1	1.12E+1
16	1.41E+4	1E0	1.15E+3	1.75E+2	0.152	40	4.72E+1	9.99E-1	1.16E+1
17	1.41E+4	1.58E0	1.19E+3	1.47E+2	0.123	40	4.87E+1	1E0	1.2E+1
18	1.42E+4	2.51E0	1.22E+3	1.22E+2	0.1	40	4.99E+1	1E0	1.23E+1
19	1.42E+4	3.98E0	1.25E+3	1.03E+2	0.0829	40	5.09E+1	1E0	1.25E+1
20	1.42E+4	6.31E0	1.26E+3	8.83E+1	0.0701	40	5.13E+1	1E0	1.26E+1
21	1.42E+4	1E+1	1.26E+3	7.82E+1	0.0623	40	5.12E+1	1E0	1.26E+1
