Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	9.21E+1	1E-1	5.3E+2	8.99E+1	0.17	30	2.17E+1	9.92E-1	5.33E0
2	1.32E+2	1.58E-1	5.6E+2	7.75E+1	0.138	30	2.29E+1	9.94E-1	5.63E0
3	1.53E+2	2.51E-1	5.84E+2	6.72E+1	0.115	30	2.37E+1	9.92E-1	5.84E0
4	1.67E+2	3.98E-1	6.04E+2	5.79E+1	0.0959	30	2.47E+1	1E0	6.06E0
5	1.76E+2	6.31E-1	6.2E+2	5.19E+1	0.0837	30	2.52E+1	9.97E-1	6.2E0
6	1.83E+2	1E0	6.34E+2	4.68E+1	0.0739	30	2.57E+1	9.96E-1	6.33E0
7	1.91E+2	1.58E0	6.46E+2	4.42E+1	0.0684	30	2.63E+1	9.98E-1	6.46E0
8	1.99E+2	2.51E0	6.58E+2	4.14E+1	0.0628	30	2.68E+1	1E0	6.6E0
9	2.08E+2	3.98E0	6.7E+2	4.07E+1	0.0607	30	2.73E+1	1E0	6.71E0
10	2.16E+2	6.31E0	6.82E+2	4.18E+1	0.0613	30	2.78E+1	1E0	6.84E0
11	2.24E+2	1E+1	6.93E+2	4.47E+1	0.0645	30	2.83E+1	1E0	6.94E0
