Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	6.09E+1	1E-1	1.29E0	1.82E+1	14	50	7.36E-1	9.93E-1	1.81E-1
2	8.72E+1	1.58E-1	2.06E0	2.82E+1	13.7	50	1.16E0	1E0	2.84E-1
3	1.09E+2	2.51E-1	3.99E0	4.43E+1	11.1	50	1.81E0	1E0	4.46E-1
4	1.23E+2	3.98E-1	9.1E0	6.95E+1	7.64	50	2.86E0	1E0	7.02E-1
5	1.32E+2	6.31E-1	2.07E+1	1.07E+2	5.18	50	4.45E0	1E0	1.09E0
6	1.38E+2	1E0	4.72E+1	1.61E+2	3.41	50	6.83E0	1E0	1.68E0
7	1.47E+2	1.58E0	1.01E+2	2.27E+2	2.25	50	1.01E+1	1E0	2.48E0
8	1.54E+2	2.51E0	1.91E+2	2.9E+2	1.51	50	1.41E+1	1E0	3.47E0
9	1.63E+2	3.98E0	3.13E+2	3.29E+2	1.05	50	1.85E+1	1E0	4.54E0
10	1.7E+2	6.31E0	4.44E+2	3.31E+2	0.745	50	2.26E+1	1E0	5.54E0
11	1.78E+2	1E+1	5.64E+2	3.04E+2	0.538	50	2.61E+1	1E0	6.41E0
