Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	7.62E+3	1E-3	1.46E+1	9.7E+1	6.67	35	3.83E0	9.6E-1	9.42E-1
2	1.05E+4	1.58E-3	3.55E+1	1.5E+2	4.22	35	6.16E0	9.81E-1	1.51E0
3	1.19E+4	2.51E-3	7.97E+1	2.21E+2	2.78	35	9.57E0	9.99E-1	2.35E0
4	1.27E+4	3.98E-3	1.63E+2	2.99E+2	1.84	35	1.39E+1	9.99E-1	3.41E0
5	1.33E+4	6.31E-3	2.85E+2	3.63E+2	1.28	35	1.88E+1	1E0	4.62E0
6	1.36E+4	1E-2	4.31E+2	3.91E+2	0.907	35	2.37E+1	1E0	5.83E0
7	1.39E+4	1.58E-2	5.77E+2	3.82E+2	0.663	35	2.82E+1	1E0	6.94E0
8	1.4E+4	2.51E-2	7.01E+2	3.5E+2	0.499	35	3.2E+1	1E0	7.86E0
9	1.41E+4	3.98E-2	8.04E+2	3.06E+2	0.38	35	3.52E+1	1.01E0	8.66E0
10	1.41E+4	6.31E-2	8.89E+2	2.6E+2	0.292	35	3.78E+1	1E0	9.28E0
11	1.41E+4	1E-1	9.55E+2	2.2E+2	0.231	35	3.98E+1	9.97E-1	9.77E0
12	1.42E+4	1.58E-1	1.01E+3	1.85E+2	0.184	35	4.17E+1	9.99E-1	1.02E+1
13	1.42E+4	2.51E-1	1.05E+3	1.57E+2	0.149	35	4.33E+1	9.99E-1	1.06E+1
14	1.42E+4	3.98E-1	1.09E+3	1.31E+2	0.12	35	4.46E+1	9.99E-1	1.1E+1
15	1.42E+4	6.31E-1	1.12E+3	1.09E+2	0.0975	35	4.58E+1	1E0	1.13E+1
16	1.42E+4	1E0	1.15E+3	9.26E+1	0.0808	35	4.66E+1	9.96E-1	1.15E+1
17	1.42E+4	1.58E0	1.17E+3	7.93E+1	0.0679	35	4.76E+1	9.99E-1	1.17E+1
18	1.42E+4	2.51E0	1.19E+3	6.93E+1	0.0584	35	4.84E+1	1E0	1.19E+1
19	1.42E+4	3.98E0	1.2E+3	6.17E+1	0.0512	35	4.91E+1	1E0	1.21E+1
20	1.43E+4	6.31E0	1.23E+3	5.64E+1	0.046	35	5E+1	1E0	1.23E+1
21	1.43E+4	1E+1	1.25E+3	5.38E+1	0.0429	35	5.11E+1	1E0	1.26E+1
