Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	9.21E+1	1E-1	3.29E+2	2.54E+2	0.771	40	1.67E+1	9.9E-1	4.11E0
2	1.32E+2	1.58E-1	4.19E+2	2.45E+2	0.584	40	1.97E+1	9.95E-1	4.83E0
3	1.49E+2	2.51E-1	4.99E+2	2.24E+2	0.449	40	2.22E+1	9.98E-1	5.46E0
4	1.6E+2	3.98E-1	5.67E+2	1.98E+2	0.349	40	2.44E+1	9.97E-1	5.99E0
5	1.69E+2	6.31E-1	6.22E+2	1.7E+2	0.273	40	2.61E+1	9.96E-1	6.42E0
6	1.76E+2	1E0	6.66E+2	1.43E+2	0.215	40	2.76E+1	9.95E-1	6.78E0
7	1.83E+2	1.58E0	7.02E+2	1.2E+2	0.171	40	2.9E+1	9.99E-1	7.12E0
8	1.9E+2	2.51E0	7.31E+2	9.97E+1	0.136	40	3E+1	1E0	7.38E0
9	2E+2	3.98E0	7.55E+2	8.26E+1	0.109	40	3.09E+1	1E0	7.59E0
10	2.07E+2	6.31E0	7.73E+2	6.9E+1	0.0893	40	3.16E+1	1E0	7.76E0
11	2.15E+2	1E+1	7.87E+2	5.96E+1	0.0758	40	3.21E+1	1E0	7.89E0
