Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
9.8E-2	******	******	******	******	35	-5.75E+2	-1.39E-2	-1.41E+2
2E-1	******	******	******	******	35	-5.5E+2	-1.86E-5	-1.35E+2
3.01E-1	******	******	******	******	35	-5.35E+2	2.7E-5	-1.31E+2
3.99E-1	******	******	******	******	35	-5.22E+2	-7.05E-6	-1.28E+2
5E-1	******	******	******	******	35	-5.12E+2	-1.88E-5	-1.26E+2
5.98E-1	******	******	******	******	35	-5.03E+2	9.4E-6	-1.24E+2
7.03E-1	******	******	******	******	35	-4.95E+2	4.78E-5	-1.22E+2
8.05E-1	******	******	******	******	35	-4.88E+2	-4.22E-6	-1.2E+2
9.03E-1	******	******	******	******	35	-4.82E+2	1.25E-5	-1.18E+2
1E0	******	******	******	******	35	-4.76E+2	2.26E-5	-1.17E+2
1.1E0	******	******	******	******	35	-4.7E+2	3.29E-5	-1.15E+2
1.2E0	******	******	******	******	35	-4.65E+2	2.99E-5	-1.14E+2
1.31E0	******	******	******	******	35	-4.6E+2	3.19E-5	-1.13E+2
1.4E0	******	******	******	******	35	-4.55E+2	7.47E-7	-1.12E+2
1.5E0	******	******	******	******	35	-4.5E+2	6.41E-7	-1.11E+2
1.6E0	******	******	******	******	35	-4.46E+2	3.15E-5	-1.1E+2
1.7E0	******	******	******	******	35	-4.42E+2	-3.79E-6	-1.09E+2
1.81E0	******	******	******	******	35	-4.38E+2	-1.55E-5	-1.08E+2
1.9E0	******	******	******	******	35	-4.34E+2	-3.11E-5	-1.07E+2
2E0	******	******	******	******	35	-4.3E+2	-1.4E-5	-1.06E+2
2.1E0	******	******	******	******	35	-4.27E+2	-1.39E-5	-1.05E+2
2.2E0	******	******	******	******	35	-4.23E+2	-5.32E-5	-1.04E+2
2.3E0	******	******	******	******	35	-4.2E+2	-3.81E-5	-1.03E+2
2.4E0	******	******	******	******	35	-4.17E+2	2.69E-5	-1.02E+2
2.5E0	******	******	******	******	35	-4.13E+2	2.22E-5	-1.02E+2
2.6E0	******	******	******	******	35	-4.1E+2	-9.98E-6	-1.01E+2
2.7E0	******	******	******	******	35	-4.07E+2	2.3E-5	-1E+2
2.8E0	******	******	******	******	35	-4.04E+2	5.24E-5	-9.94E+1
2.9E0	******	******	******	******	35	-4.01E+2	2.81E-5	-9.86E+1
3E0	******	******	******	******	35	-3.99E+2	4.24E-5	-9.8E+1
3.1E0	******	******	******	******	35	-3.96E+2	5.44E-5	-9.73E+1
3.2E0	******	******	******	******	35	-3.93E+2	2.67E-5	-9.66E+1
3.3E0	******	******	******	******	35	-3.91E+2	2.2E-5	-9.6E+1
3.4E0	******	******	******	******	35	-3.88E+2	1.2E-5	-9.53E+1
3.5E0	******	******	******	******	35	-3.85E+2	3.2E-7	-9.47E+1
3.6E0	******	******	******	******	35	-3.83E+2	-1.92E-6	-9.41E+1
3.7E0	******	******	******	******	35	-3.81E+2	3.09E-5	-9.35E+1
3.8E0	******	******	******	******	35	-3.78E+2	-6.03E-6	-9.29E+1
3.9E0	******	******	******	******	35	-3.76E+2	-1.38E-5	-9.23E+1
4E0	******	******	******	******	35	-3.73E+2	-3.25E-5	-9.17E+1
4.1E0	******	******	******	******	35	-3.71E+2	-2.35E-6	-9.12E+1
4.2E0	******	******	******	******	35	-3.69E+2	-4.43E-5	-9.06E+1
4.3E0	******	******	******	******	35	-3.66E+2	-5.55E-5	-9.01E+1
4.4E0	******	******	******	******	35	-3.64E+2	-2.09E-5	-8.96E+1
4.5E0	******	******	******	******	35	-3.62E+2	-1.07E-7	-8.91E+1
4.6E0	******	******	******	******	35	-3.6E+2	-9.08E-7	-8.85E+1
4.7E0	******	******	******	******	35	-3.58E+2	-6.83E-6	-8.8E+1
4.8E0	******	******	******	******	35	-3.56E+2	3.17E-5	-8.75E+1
4.9E0	******	******	******	******	35	-3.54E+2	4.35E-5	-8.7E+1
5E0	******	******	******	******	35	-3.52E+2	7.47E-6	-8.65E+1
5.1E0	******	******	******	******	35	-3.5E+2	6.58E-5	-8.6E+1
5.2E0	******	******	******	******	35	-3.48E+2	2.92E-5	-8.55E+1
5.3E0	******	******	******	******	35	-3.46E+2	5.39E-5	-8.51E+1
5.4E0	******	******	******	******	35	-3.44E+2	3.25E-5	-8.46E+1
5.5E0	******	******	******	******	35	-3.42E+2	1.44E-6	-8.41E+1
5.6E0	******	******	******	******	35	-3.4E+2	-6.51E-6	-8.37E+1
5.7E0	******	******	******	******	35	-3.39E+2	-1.65E-5	-8.32E+1
5.8E0	******	******	******	******	35	-3.37E+2	-9.08E-6	-8.28E+1
5.9E0	******	******	******	******	35	-3.35E+2	-5.7E-5	-8.23E+1
6E0	******	******	******	******	35	-3.33E+2	1.33E-6	-8.19E+1
6.1E0	******	******	******	******	35	-3.32E+2	-1.49E-6	-8.15E+1
6.2E0	******	******	******	******	35	-3.3E+2	-2.17E-5	-8.11E+1
6.3E0	******	******	******	******	35	-3.28E+2	-5.79E-5	-8.06E+1
6.4E0	******	******	******	******	35	-3.26E+2	-4.76E-5	-8.02E+1
6.5E0	******	******	******	******	35	-3.25E+2	2.45E-5	-7.99E+1
6.6E0	******	******	******	******	35	-3.23E+2	-1.26E-5	-7.95E+1
6.7E0	******	******	******	******	35	-3.22E+2	-3.86E-5	-7.9E+1
6.8E0	******	******	******	******	35	-3.2E+2	-3.17E-5	-7.86E+1
6.9E0	******	******	******	******	35	-3.19E+2	4.24E-5	-7.83E+1
7E0	******	******	******	******	35	-3.17E+2	5.02E-5	-7.79E+1
7.1E0	******	******	******	******	35	-3.15E+2	2.42E-5	-7.75E+1
7.2E0	******	******	******	******	35	-3.14E+2	5.51E-5	-7.71E+1
7.3E0	******	******	******	******	35	-3.12E+2	3.74E-5	-7.67E+1
7.4E0	******	******	******	******	35	-3.11E+2	3.85E-5	-7.64E+1
7.5E0	******	******	******	******	35	-3.09E+2	2.38E-5	-7.6E+1
7.6E0	******	******	******	******	35	-3.08E+2	2.42E-5	-7.56E+1
7.7E0	******	******	******	******	35	-3.06E+2	4.48E-6	-7.53E+1
7.8E0	******	******	******	******	35	-3.05E+2	9.56E-6	-7.49E+1
7.9E0	******	******	******	******	35	-3.03E+2	-7.26E-6	-7.45E+1
8E0	******	******	******	******	35	-3.02E+2	-3.46E-5	-7.42E+1
8.1E0	******	******	******	******	35	-3.01E+2	-2.06E-5	-7.38E+1
8.2E0	******	******	******	******	35	-2.99E+2	-3.78E-5	-7.35E+1
8.3E0	******	******	******	******	35	-2.98E+2	-4.85E-5	-7.32E+1
8.4E0	******	******	******	******	35	-2.96E+2	-3.22E-5	-7.28E+1
8.5E0	******	******	******	******	35	-2.95E+2	-1.36E-5	-7.25E+1
8.6E0	******	******	******	******	35	-2.94E+2	2.26E-5	-7.22E+1
8.7E0	******	******	******	******	35	-2.92E+2	-1.77E-5	-7.18E+1
8.8E0	******	******	******	******	35	-2.91E+2	4.14E-5	-7.15E+1
8.9E0	******	******	******	******	35	-2.9E+2	1.14E-5	-7.12E+1
9E0	******	******	******	******	35	-2.88E+2	4.19E-5	-7.09E+1
9.1E0	******	******	******	******	35	-2.87E+2	1.13E-5	-7.05E+1
9.2E0	******	******	******	******	35	-2.86E+2	3.79E-5	-7.02E+1
9.3E0	******	******	******	******	35	-2.85E+2	3.25E-5	-6.99E+1
9.4E0	******	******	******	******	35	-2.83E+2	6.94E-7	-6.96E+1
9.5E0	******	******	******	******	35	-2.82E+2	1.74E-5	-6.93E+1
9.6E0	******	******	******	******	35	-2.81E+2	-1.33E-6	-6.9E+1
9.7E0	******	******	******	******	35	-2.8E+2	-1.37E-5	-6.87E+1
9.81E0	******	******	******	******	35	-2.78E+2	-1.67E-5	-6.84E+1
9.9E0	******	******	******	******	35	-2.77E+2	-2.01E-5	-6.81E+1
1E+1	******	******	******	******	35	-2.76E+2	-5.27E-5	-6.78E+1
