Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	8.15E+1	1E-1	3.16E+2	4.88E+1	0.154	20	1.28E+1	9.83E-1	3.14E0
2	1.21E+2	1.58E-1	3.38E+2	5.03E+1	0.149	20	1.38E+1	9.92E-1	3.39E0
3	1.42E+2	2.51E-1	3.58E+2	5.28E+1	0.147	20	1.46E+1	9.93E-1	3.59E0
4	1.56E+2	3.98E-1	3.77E+2	5.6E+1	0.148	20	1.55E+1	9.98E-1	3.81E0
5	1.66E+2	6.31E-1	3.96E+2	5.95E+1	0.15	20	1.62E+1	9.95E-1	3.99E0
6	1.74E+2	1E0	4.17E+2	6.36E+1	0.153	20	1.72E+1	9.99E-1	4.22E0
7	1.82E+2	1.58E0	4.39E+2	6.64E+1	0.151	20	1.8E+1	9.98E-1	4.43E0
8	1.89E+2	2.51E0	4.62E+2	6.72E+1	0.146	20	1.9E+1	9.99E-1	4.66E0
9	1.99E+2	3.98E0	4.84E+2	6.67E+1	0.138	20	1.99E+1	1E0	4.89E0
10	2.07E+2	6.31E0	5.05E+2	6.61E+1	0.131	20	2.07E+1	1E0	5.09E0
11	2.14E+2	1E+1	5.24E+2	6.65E+1	0.127	20	2.15E+1	1E0	5.28E0
