Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	8.17E+1	1E-1	3.31E+1	1.46E+2	4.41	45	5.99E0	9.84E-1	1.47E0
2	1.21E+2	1.58E-1	7.52E+1	2.12E+2	2.82	45	9.11E0	9.96E-1	2.24E0
3	1.43E+2	2.51E-1	1.51E+2	2.87E+2	1.89	45	1.32E+1	1E0	3.24E0
4	1.57E+2	3.98E-1	2.68E+2	3.49E+2	1.3	45	1.8E+1	1.01E0	4.43E0
5	1.66E+2	6.31E-1	4.1E+2	3.78E+2	0.921	45	2.27E+1	9.99E-1	5.57E0
6	1.72E+2	1E0	5.53E+2	3.69E+2	0.667	45	2.71E+1	1E0	6.65E0
7	1.81E+2	1.58E0	6.76E+2	3.33E+2	0.493	45	3.07E+1	1E0	7.54E0
8	1.88E+2	2.51E0	7.77E+2	2.86E+2	0.368	45	3.37E+1	1E0	8.28E0
9	1.98E+2	3.98E0	8.55E+2	2.37E+2	0.277	45	3.61E+1	1E0	8.87E0
10	2.05E+2	6.31E0	9.15E+2	1.92E+2	0.21	45	3.81E+1	1E0	9.35E0
11	2.13E+2	1E+1	9.67E+2	1.55E+2	0.16	45	3.99E+1	1E0	9.8E0
