Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	8.52E+2	1E-2	2.23E+1	1.19E+2	5.36	40	4.56E0	9.21E-1	1.12E0
2	1.2E+3	1.58E-2	5.24E+1	1.79E+2	3.41	40	7.52E0	9.92E-1	1.85E0
3	1.34E+3	2.51E-2	1.09E+2	2.51E+2	2.3	40	1.12E+1	1.01E0	2.76E0
4	1.43E+3	3.98E-2	2.06E+2	3.31E+2	1.61	40	1.57E+1	9.88E-1	3.85E0
5	1.49E+3	6.31E-2	3.41E+2	3.77E+2	1.1	40	2.1E+1	1.02E0	5.16E0
6	1.52E+3	1E-1	4.9E+2	3.9E+2	0.796	40	2.55E+1	1E0	6.28E0
7	1.56E+3	1.58E-1	6.27E+2	3.71E+2	0.592	40	2.98E+1	1E0	7.32E0
8	1.58E+3	2.51E-1	7.46E+2	3.3E+2	0.443	40	3.3E+1	9.95E-1	8.12E0
9	1.59E+3	3.98E-1	8.43E+2	2.84E+2	0.337	40	3.63E+1	1E0	8.91E0
10	1.6E+3	6.31E-1	9.18E+2	2.39E+2	0.26	40	3.85E+1	9.97E-1	9.46E0
11	1.6E+3	1E0	9.75E+2	1.96E+2	0.201	40	4.02E+1	9.93E-1	9.88E0
12	1.61E+3	1.58E0	1.02E+3	1.62E+2	0.159	40	4.21E+1	1E0	1.03E+1
13	1.62E+3	2.51E0	1.06E+3	1.33E+2	0.125	40	4.35E+1	1E0	1.07E+1
14	1.63E+3	3.98E0	1.09E+3	1.08E+2	0.0995	40	4.45E+1	1E0	1.09E+1
15	1.63E+3	6.31E0	1.11E+3	8.97E+1	0.0807	40	4.54E+1	1E0	1.12E+1
16	1.64E+3	1E+1	1.13E+3	7.63E+1	0.0674	40	4.61E+1	1E0	1.13E+1
