Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	7.62E+3	1E-3	1.55E-1	3.26E0	21	45	1.33E-1	1E0	3.26E-2
2	1.24E+4	1.58E-3	1.95E-1	5.24E0	26.9	45	2.13E-1	1E0	5.24E-2
3	1.53E+4	2.51E-3	3.4E-1	8.43E0	24.8	45	3.43E-1	1E0	8.44E-2
4	1.72E+4	3.98E-3	3.84E-1	1.34E+1	34.8	45	5.47E-1	1E0	1.34E-1
5	1.84E+4	6.31E-3	7.95E-1	2.1E+1	26.4	45	8.68E-1	1.02E0	2.13E-1
6	1.91E+4	1E-2	1.54E0	3.38E+1	22	45	1.38E0	1.01E0	3.4E-1
7	1.95E+4	1.58E-2	4.2E0	5.23E+1	12.4	45	2.14E0	1E0	5.26E-1
8	1.96E+4	2.51E-2	8.59E0	8.28E+1	9.64	45	3.39E0	9.99E-1	8.32E-1
9	1.98E+4	3.98E-2	2.35E+1	1.29E+2	5.49	45	5.33E0	1E0	1.31E0
10	1.98E+4	6.31E-2	5.08E+1	1.95E+2	3.83	45	8.29E0	1.01E0	2.04E0
11	1.99E+4	1E-1	1.11E+2	2.81E+2	2.53	45	1.24E+1	1.01E0	3.05E0
12	1.99E+4	1.58E-1	2.18E+2	3.72E+2	1.7	45	1.76E+1	1E0	4.32E0
13	1.99E+4	2.51E-1	3.74E+2	4.39E+2	1.17	45	2.35E+1	1E0	5.78E0
14	1.99E+4	3.98E-1	5.5E+2	4.56E+2	0.829	45	2.91E+1	1E0	7.15E0
15	1.99E+4	6.31E-1	7.17E+2	4.31E+2	0.601	45	3.41E+1	1E0	8.37E0
16	1.99E+4	1E0	8.53E+2	3.79E+2	0.445	45	3.8E+1	1E0	9.34E0
17	1.99E+4	1.58E0	9.6E+2	3.21E+2	0.334	45	4.13E+1	1E0	1.01E+1
18	2E+4	2.51E0	1.04E+3	2.64E+2	0.254	45	4.36E+1	9.99E-1	1.07E+1
19	2E+4	3.98E0	1.1E+3	2.16E+2	0.196	45	4.57E+1	1E0	1.12E+1
20	2E+4	6.31E0	1.14E+3	1.78E+2	0.156	45	4.7E+1	1E0	1.16E+1
21	2E+4	1E+1	1.16E+3	1.46E+2	0.126	45	4.75E+1	1E0	1.17E+1
