Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	2.68E+4	3E-4	9.47E0	7.54E+1	7.96E0	15	3.04E0	9.82E-1
2	3.64E+4	4.72E-4	2.17E+1	1.16E+2	5.35E0	15	4.8E0	9.99E-1
3	4.11E+4	7.42E-4	4.77E+1	1.73E+2	3.64E0	15	7.31E0	9.98E-1
4	4.41E+4	1.17E-3	9.75E+1	2.46E+2	2.53E0	15	1.08E+1	1E0
5	4.6E+4	1.84E-3	1.82E+2	3.28E+2	1.81E0	15	1.53E+1	1E0
6	4.72E+4	2.89E-3	3.05E+2	4.02E+2	1.32E0	15	2.05E+1	9.97E-1
7	4.8E+4	4.54E-3	4.59E+2	4.48E+2	9.77E-1	15	2.63E+1	1.01E0
8	4.85E+4	7.14E-3	6.25E+2	4.61E+2	7.38E-1	15	3.16E+1	1E0
9	4.88E+4	1.12E-2	7.84E+2	4.41E+2	5.62E-1	15	3.67E+1	1E0
10	4.9E+4	1.77E-2	9.22E+2	4E+2	4.34E-1	15	4.09E+1	1E0
11	4.91E+4	2.78E-2	1.04E+3	3.46E+2	3.33E-1	15	4.48E+1	1.01E0
12	4.92E+4	4.37E-2	1.13E+3	2.93E+2	2.59E-1	15	4.76E+1	1E0
13	4.92E+4	6.87E-2	1.2E+3	2.46E+2	2.05E-1	15	4.99E+1	1E0
14	4.92E+4	1.08E-1	1.26E+3	2.06E+2	1.64E-1	15	5.17E+1	9.97E-1
15	4.92E+4	1.7E-1	1.3E+3	1.75E+2	1.34E-1	15	5.34E+1	9.99E-1
16	4.93E+4	2.67E-1	1.34E+3	1.54E+2	1.15E-1	15	5.48E+1	9.98E-1
17	4.93E+4	4.2E-1	1.38E+3	1.38E+2	1E-1	15	5.63E+1	9.99E-1
18	4.93E+4	6.61E-1	1.41E+3	1.26E+2	8.93E-2	15	5.76E+1	1E0
19	4.93E+4	1.04E0	1.44E+3	1.18E+2	8.19E-2	15	5.88E+1	1E0
20	4.93E+4	1.63E0	1.47E+3	1.12E+2	7.59E-2	15	5.99E+1	1E0
21	4.93E+4	2.57E0	1.5E+3	1.05E+2	7E-2	15	6.12E+1	1E0
22	4.93E+4	4.04E0	1.52E+3	1.03E+2	6.76E-2	15	6.21E+1	1E0
23	4.93E+4	6.36E0	1.54E+3	1.03E+2	6.69E-2	15	6.27E+1	1E0
24	4.93E+4	1E+1	1.54E+3	1.05E+2	6.84E-2	15	6.28E+1	1E0
