Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	1.92E+2	5E-2	1.34E+2	2.91E+2	2.17E0	25	1.28E+1	9.86E-1
2	2.65E+2	7.78E-2	2.39E+2	3.7E+2	1.55E0	25	1.8E+1	1.01E0
3	2.95E+2	1.21E-1	3.79E+2	4.26E+2	1.12E0	25	2.32E+1	1E0
4	3.23E+2	1.88E-1	5.36E+2	4.47E+2	8.36E-1	25	2.84E+1	1E0
5	3.41E+2	2.92E-1	6.91E+2	4.38E+2	6.34E-1	25	3.32E+1	9.98E-1
6	3.51E+2	4.55E-1	8.32E+2	4.06E+2	4.88E-1	25	3.79E+1	1.01E0
7	3.58E+2	7.07E-1	9.48E+2	3.58E+2	3.77E-1	25	4.11E+1	9.98E-1
8	3.65E+2	1.1E0	1.04E+3	3.05E+2	2.92E-1	25	4.42E+1	1E0
9	3.71E+2	1.71E0	1.12E+3	2.56E+2	2.29E-1	25	4.67E+1	1E0
10	3.78E+2	2.66E0	1.17E+3	2.14E+2	1.82E-1	25	4.85E+1	1E0
11	3.85E+2	4.14E0	1.22E+3	1.81E+2	1.49E-1	25	5.01E+1	1E0
12	3.94E+2	6.43E0	1.24E+3	1.58E+2	1.27E-1	25	5.11E+1	1E0
13	4.01E+2	1E+1	1.26E+3	1.42E+2	1.13E-1	25	5.15E+1	1E0
