Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	1E-1	******	******	******	******	20	2.05E0	2.55E-4	5.05E-1
2	2E-1	******	******	******	******	20	5.34E0	1.95E-4	1.31E0
3	3E-1	******	******	******	******	20	3.4E0	-4.18E-5	8.35E-1
4	4E-1	******	******	******	******	20	2.47E0	2.8E-4	6.08E-1
5	5E-1	******	******	******	******	20	2.35E0	1.7E-4	5.76E-1
6	6E-1	******	******	******	******	20	2.43E0	6.58E-5	5.96E-1
7	7.01E-1	******	******	******	******	20	2.32E0	6.76E-5	5.69E-1
8	8.01E-1	******	******	******	******	20	2.19E0	2.48E-4	5.39E-1
9	9.01E-1	******	******	******	******	20	2.21E0	4.44E-5	5.43E-1
10	1E0	******	******	******	******	20	2.14E0	1.85E-5	5.26E-1
11	1.1E0	******	******	******	******	20	2.08E0	-1.54E-5	5.11E-1
12	1.2E0	******	******	******	******	20	2.04E0	1.1E-4	5.01E-1
13	1.3E0	******	******	******	******	20	2.04E0	-1.03E-4	5.02E-1
14	1.4E0	******	******	******	******	20	1.94E0	1.07E-4	4.76E-1
15	1.5E0	******	******	******	******	20	1.94E0	-1.16E-4	4.76E-1
16	1.6E0	******	******	******	******	20	1.9E0	9.93E-5	4.67E-1
17	1.7E0	******	******	******	******	20	1.89E0	-1.91E-4	4.65E-1
18	1.8E0	******	******	******	******	20	1.88E0	-7.86E-5	4.62E-1
19	1.9E0	******	******	******	******	20	1.8E0	1.94E-5	4.41E-1
20	2E0	******	******	******	******	20	1.74E0	5.5E-5	4.27E-1
21	2.1E0	******	******	******	******	20	1.85E0	-2.82E-4	4.54E-1
22	2.2E0	******	******	******	******	20	1.67E0	1.38E-4	4.11E-1
23	2.3E0	******	******	******	******	20	1.75E0	-1.77E-4	4.31E-1
24	2.4E0	******	******	******	******	20	1.61E0	1.49E-4	3.96E-1
25	2.5E0	******	******	******	******	20	1.62E0	4.78E-5	3.99E-1
26	2.6E0	******	******	******	******	20	1.63E0	4.98E-5	4.01E-1
27	2.7E0	******	******	******	******	20	1.57E0	6.33E-5	3.87E-1
28	2.8E0	******	******	******	******	20	1.55E0	8.77E-5	3.82E-1
29	2.9E0	******	******	******	******	20	1.48E0	1.2E-4	3.64E-1
30	3E0	******	******	******	******	20	1.46E0	1.21E-4	3.59E-1
31	3.1E0	******	******	******	******	20	1.5E0	-1.57E-5	3.69E-1
32	3.2E0	******	******	******	******	20	1.42E0	1.07E-4	3.48E-1
33	3.3E0	******	******	******	******	20	1.42E0	1.27E-4	3.49E-1
34	3.4E0	******	******	******	******	20	1.35E0	1.45E-4	3.33E-1
35	3.5E0	******	******	******	******	20	1.39E0	8.44E-5	3.41E-1
