Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	1.02E-1	******	******	******	******	25	-4.67E+1	-1.51E-3	-1.15E+1
2	2.03E-1	******	******	******	******	25	-3.96E+1	1.93E-4	-9.73E0
3	3.01E-1	******	******	******	******	25	-2.41E+1	9.98E-4	-5.93E0
4	4.02E-1	******	******	******	******	25	-2.98E+1	1.03E-5	-7.32E0
5	5E-1	******	******	******	******	25	-2.67E+1	-4.99E-5	-6.57E0
6	6.02E-1	******	******	******	******	25	-2.43E+1	-6.91E-4	-5.97E0
7	7.03E-1	******	******	******	******	25	-2.21E+1	-1.07E-3	-5.44E0
8	8.01E-1	******	******	******	******	25	-2.03E+1	-1.38E-3	-4.99E0
9	9.02E-1	******	******	******	******	25	-1.87E+1	-1.59E-3	-4.59E0
10	1E0	******	******	******	******	25	-1.72E+1	-1.9E-3	-4.23E0
11	1.1E0	******	******	******	******	25	-1.59E+1	-2.05E-3	-3.92E0
12	1.2E0	******	******	******	******	25	-1.48E+1	-1.84E-3	-3.64E0
13	1.3E0	******	******	******	******	25	-1.38E+1	-1.64E-3	-3.4E0
14	1.4E0	******	******	******	******	25	-1.28E+1	-1.67E-3	-3.14E0
15	1.5E0	******	******	******	******	25	-1.2E+1	-1.34E-3	-2.95E0
16	1.6E0	******	******	******	******	25	-1.12E+1	-1.34E-3	-2.75E0
17	1.7E0	******	******	******	******	25	-1.05E+1	-1.15E-3	-2.58E0
18	1.8E0	******	******	******	******	25	-9.81E0	-1.11E-3	-2.41E0
19	1.9E0	******	******	******	******	25	-9.25E0	-1.05E-3	-2.27E0
20	2E0	******	******	******	******	25	-8.72E0	-8.12E-4	-2.14E0
21	2.1E0	******	******	******	******	25	-8.16E0	-9.21E-4	-2E0
22	2.2E0	******	******	******	******	25	-7.67E0	-8.98E-4	-1.89E0
23	2.3E0	******	******	******	******	25	-7.27E0	-7.85E-4	-1.79E0
24	2.4E0	******	******	******	******	25	-6.88E0	-6.78E-4	-1.69E0
25	2.5E0	******	******	******	******	25	-6.43E0	-7.53E-4	-1.58E0
26	2.6E0	******	******	******	******	25	-6.12E0	-6.29E-4	-1.5E0
27	2.7E0	******	******	******	******	25	-5.79E0	-7.05E-4	-1.42E0
28	2.8E0	******	******	******	******	25	-5.49E0	-5.81E-4	-1.35E0
29	2.9E0	******	******	******	******	25	-5.2E0	-5.32E-4	-1.28E0
30	3E0	******	******	******	******	25	-4.88E0	-6.47E-4	-1.2E0
31	3.1E0	******	******	******	******	25	-4.67E0	-4.84E-4	-1.15E0
32	3.2E0	******	******	******	******	25	-4.39E0	-4.96E-4	-1.08E0
33	3.3E0	******	******	******	******	25	-4.2E0	-4.86E-4	-1.03E0
34	3.4E0	******	******	******	******	25	-4E0	-4.32E-4	-9.82E-1
35	3.5E0	******	******	******	******	25	-3.74E0	-4.37E-4	-9.19E-1
36	3.6E0	******	******	******	******	25	-3.58E0	-4.38E-4	-8.79E-1
37	3.7E0	******	******	******	******	25	-3.39E0	-5.28E-4	-8.33E-1
38	3.8E0	******	******	******	******	25	-3.24E0	-3.18E-4	-7.96E-1
39	3.9E0	******	******	******	******	25	-3.07E0	-3.65E-4	-7.54E-1
40	4E0	******	******	******	******	25	-2.96E0	-2.89E-4	-7.28E-1
41	4.1E0	******	******	******	******	25	-2.76E0	-3.6E-4	-6.79E-1
42	4.2E0	******	******	******	******	25	-2.68E0	-3.62E-4	-6.59E-1
43	4.3E0	******	******	******	******	25	-2.55E0	-2.8E-4	-6.26E-1
44	4.4E0	******	******	******	******	25	-2.43E0	-2.13E-4	-5.98E-1
45	4.5E0	******	******	******	******	25	-2.26E0	-4.42E-4	-5.54E-1
46	4.6E0	******	******	******	******	25	-2.25E0	-1.86E-4	-5.53E-1
47	4.7E0	******	******	******	******	25	-2.14E0	-1.59E-4	-5.25E-1
48	4.8E0	******	******	******	******	25	-2.02E0	-2.08E-4	-4.97E-1
49	4.9E0	******	******	******	******	25	-1.91E0	-2.17E-4	-4.69E-1
50	5E0	******	******	******	******	25	-1.83E0	-1.97E-4	-4.49E-1
51	5.1E0	******	******	******	******	25	-1.76E0	-1.23E-4	-4.34E-1
52	5.2E0	******	******	******	******	25	-1.67E0	-1.69E-4	-4.11E-1
53	5.3E0	******	******	******	******	25	-1.61E0	-1.77E-4	-3.95E-1
54	5.4E0	******	******	******	******	25	-1.51E0	-1.87E-4	-3.72E-1
55	5.5E0	******	******	******	******	25	-1.44E0	-2.23E-4	-3.54E-1
56	5.6E0	******	******	******	******	25	-1.43E0	-5.98E-5	-3.51E-1
57	5.7E0	******	******	******	******	25	-1.34E0	-9.54E-5	-3.3E-1
58	5.8E0	******	******	******	******	25	-1.27E0	-1.37E-4	-3.12E-1
59	5.9E0	******	******	******	******	25	-1.21E0	-1.09E-4	-2.97E-1
