Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	2.52E+4	3E-4	1.78E+2	3.1E+2	1.75E0	10	4.59E-1	3.16E-2
2	3.47E+4	4.72E-4	2.86E+2	3.9E+2	1.37E0	10	1.98E+1	1E0
3	3.94E+4	7.42E-4	4.36E+2	4.43E+2	1.02E0	10	2.54E+1	1E0
4	4.24E+4	1.17E-3	6.05E+2	4.64E+2	7.67E-1	10	3.11E+1	1E0
5	4.43E+4	1.84E-3	7.65E+2	4.51E+2	5.89E-1	10	3.62E+1	1E0
6	4.56E+4	2.89E-3	9.1E+2	4.12E+2	4.52E-1	10	4.09E+1	1.01E0
7	4.63E+4	4.54E-3	1.04E+3	3.63E+2	3.51E-1	10	4.44E+1	9.95E-1
8	4.67E+4	7.14E-3	1.13E+3	3.12E+2	2.75E-1	10	4.8E+1	1E0
9	4.69E+4	1.12E-2	1.21E+3	2.63E+2	2.17E-1	10	5.04E+1	1E0
10	4.7E+4	1.77E-2	1.27E+3	2.21E+2	1.74E-1	10	5.26E+1	1E0
11	4.71E+4	2.78E-2	1.32E+3	1.88E+2	1.42E-1	10	5.42E+1	9.98E-1
12	4.72E+4	4.37E-2	1.36E+3	1.64E+2	1.2E-1	10	5.58E+1	9.98E-1
13	4.72E+4	6.87E-2	1.4E+3	1.46E+2	1.05E-1	10	5.71E+1	9.97E-1
14	4.73E+4	1.08E-1	1.44E+3	1.35E+2	9.4E-2	10	5.87E+1	9.98E-1
15	4.73E+4	1.7E-1	1.47E+3	1.28E+2	8.66E-2	10	6.01E+1	1E0
16	4.73E+4	2.67E-1	1.51E+3	1.21E+2	8E-2	10	6.14E+1	9.99E-1
17	4.73E+4	4.2E-1	1.54E+3	1.14E+2	7.42E-2	10	6.27E+1	9.99E-1
18	4.73E+4	6.61E-1	1.57E+3	1.09E+2	6.94E-2	10	6.39E+1	9.98E-1
19	4.74E+4	1.04E0	1.6E+3	1.06E+2	6.64E-2	10	6.51E+1	9.99E-1
20	4.74E+4	1.63E0	1.62E+3	1.04E+2	6.38E-2	10	6.62E+1	1E0
21	4.74E+4	2.57E0	1.65E+3	1.03E+2	6.26E-2	10	6.73E+1	1E0
22	4.74E+4	4.04E0	1.67E+3	1.04E+2	6.2E-2	10	6.83E+1	1E0
23	4.74E+4	6.36E0	1.69E+3	1.07E+2	6.35E-2	10	6.9E+1	1E0
24	4.74E+4	1E+1	1.69E+3	1.14E+2	6.73E-2	10	6.9E+1	1E0
