Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	8.17E+1	1E-1	2.58E+1	1.34E+2	5.17E0	30	5.45E0	9.84E-1
2	1.21E+2	1.58E-1	5.92E+1	1.99E+2	3.36E0	30	8.45E0	1E0
3	1.43E+2	2.51E-1	1.23E+2	2.82E+2	2.29E0	30	1.26E+1	1E0
4	1.57E+2	3.98E-1	2.3E+2	3.63E+2	1.58E0	30	1.76E+1	1.01E0
5	1.66E+2	6.31E-1	3.78E+2	4.22E+2	1.12E0	30	2.3E+1	1E0
6	1.72E+2	1E0	5.41E+2	4.4E+2	8.13E-1	30	2.84E+1	1E0
7	1.81E+2	1.58E0	6.98E+2	4.22E+2	6.05E-1	30	3.32E+1	1E0
8	1.88E+2	2.51E0	8.33E+2	3.81E+2	4.58E-1	30	3.73E+1	1E0
9	1.98E+2	3.98E0	9.39E+2	3.28E+2	3.49E-1	30	4.05E+1	1E0
10	2.05E+2	6.31E0	1.01E+3	2.75E+2	2.72E-1	30	4.26E+1	1E0
11	2.13E+2	1E+1	1.04E+3	2.28E+2	2.19E-1	30	4.34E+1	1E0
