Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	8.52E+2	1E-2	1.04E+1	8.62E+1	8.32E0	25	3.44E0	9.74E-1	8.45E-1
2	1.2E+3	1.58E-2	2.43E+1	1.34E+2	5.52E0	25	5.5E0	9.93E-1	1.35E0
3	1.34E+3	2.51E-2	5.65E+1	2E+2	3.55E0	25	8.52E0	1.01E0	2.09E0
4	1.43E+3	3.98E-2	1.2E+2	2.85E+2	2.38E0	25	1.27E+1	1.01E0	3.12E0
5	1.49E+3	6.31E-2	2.27E+2	3.71E+2	1.64E0	25	1.76E+1	9.93E-1	4.32E0
6	1.52E+3	1E-1	3.76E+2	4.35E+2	1.16E0	25	2.36E+1	1.01E0	5.8E0
7	1.56E+3	1.58E-1	5.47E+2	4.62E+2	8.46E-1	25	2.92E+1	1E0	7.19E0
8	1.58E+3	2.51E-1	7.15E+2	4.51E+2	6.3E-1	25	3.45E+1	1E0	8.48E0
9	1.59E+3	3.98E-1	8.64E+2	4.11E+2	4.76E-1	25	3.88E+1	9.96E-1	9.53E0
10	1.6E+3	6.31E-1	9.87E+2	3.58E+2	3.62E-1	25	4.3E+1	1.01E0	1.06E+1
11	1.61E+3	1E0	1.08E+3	3.01E+2	2.78E-1	25	4.57E+1	1E0	1.12E+1
12	1.61E+3	1.58E0	1.16E+3	2.5E+2	2.16E-1	25	4.81E+1	1E0	1.18E+1
13	1.62E+3	2.51E0	1.21E+3	2.08E+2	1.71E-1	25	5E+1	1E0	1.23E+1
14	1.63E+3	3.98E0	1.26E+3	1.76E+2	1.4E-1	25	5.16E+1	1E0	1.27E+1
15	1.64E+3	6.31E0	1.29E+3	1.55E+2	1.2E-1	25	5.27E+1	1E0	1.3E+1
16	1.65E+3	1E+1	1.3E+3	1.41E+2	1.08E-1	25	5.34E+1	1E0	1.31E+1
