Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	1E-1	******	******	******	******	20	1.66E+2	3.01E0	4.08E+1
2	2E-1	******	******	******	******	20	1.54E+2	3E0	3.78E+1
3	3E-1	******	******	******	******	20	1.46E+2	3E0	3.6E+1
4	4E-1	******	******	******	******	20	1.4E+2	3E0	3.44E+1
5	5E-1	******	******	******	******	20	1.35E+2	3E0	3.31E+1
6	6E-1	******	******	******	******	20	1.3E+2	3E0	3.19E+1
7	7.01E-1	******	******	******	******	20	1.26E+2	3E0	3.09E+1
8	8.01E-1	******	******	******	******	20	1.22E+2	3E0	3E+1
9	9.01E-1	******	******	******	******	20	1.18E+2	3E0	2.91E+1
10	1E0	******	******	******	******	20	1.15E+2	3E0	2.83E+1
11	1.1E0	******	******	******	******	20	1.12E+2	3E0	2.75E+1
12	1.2E0	******	******	******	******	20	1.09E+2	3E0	2.69E+1
13	1.3E0	******	******	******	******	20	1.07E+2	3E0	2.62E+1
14	1.4E0	******	******	******	******	20	1.04E+2	3E0	2.56E+1
15	1.5E0	******	******	******	******	20	1.02E+2	3E0	2.5E+1
16	1.6E0	******	******	******	******	20	9.92E+1	3E0	2.44E+1
17	1.7E0	******	******	******	******	20	9.7E+1	3E0	2.38E+1
18	1.8E0	******	******	******	******	20	9.49E+1	3E0	2.33E+1
19	1.9E0	******	******	******	******	20	9.3E+1	3E0	2.28E+1
20	2E0	******	******	******	******	20	9.1E+1	3E0	2.24E+1
21	2.1E0	******	******	******	******	20	8.91E+1	3E0	2.19E+1
22	2.2E0	******	******	******	******	20	8.73E+1	3E0	2.15E+1
23	2.3E0	******	******	******	******	20	8.57E+1	3E0	2.11E+1
24	2.4E0	******	******	******	******	20	8.4E+1	3E0	2.06E+1
25	2.5E0	******	******	******	******	20	8.24E+1	3E0	2.02E+1
26	2.6E0	******	******	******	******	20	8.08E+1	3E0	1.99E+1
27	2.7E0	******	******	******	******	20	7.93E+1	3E0	1.95E+1
28	2.8E0	******	******	******	******	20	7.78E+1	3E0	1.91E+1
29	2.9E0	******	******	******	******	20	7.64E+1	3E0	1.88E+1
30	3E0	******	******	******	******	20	7.51E+1	3E0	1.84E+1
31	3.1E0	******	******	******	******	20	7.38E+1	3E0	1.81E+1
32	3.2E0	******	******	******	******	20	7.24E+1	3E0	1.78E+1
