Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]
1	9.19E+1	1E-1	6.13E+2	2.94E+2	4.8E-1	20	2.78E+1	1E0
2	1.32E+2	1.58E-1	7.04E+2	2.64E+2	3.76E-1	20	3.05E+1	9.96E-1
3	1.49E+2	2.51E-1	7.8E+2	2.3E+2	2.95E-1	20	3.31E+1	1E0
4	1.62E+2	3.98E-1	8.41E+2	1.96E+2	2.34E-1	20	3.51E+1	9.98E-1
5	1.72E+2	6.31E-1	8.9E+2	1.68E+2	1.89E-1	20	3.68E+1	1E0
6	1.78E+2	1E0	9.29E+2	1.45E+2	1.56E-1	20	3.82E+1	9.99E-1
7	1.85E+2	1.58E0	9.62E+2	1.28E+2	1.33E-1	20	3.95E+1	9.99E-1
8	1.93E+2	2.51E0	9.94E+2	1.15E+2	1.16E-1	20	4.07E+1	9.99E-1
9	2.02E+2	3.98E0	1.02E+3	1.03E+2	1.01E-1	20	4.17E+1	1E0
10	2.1E+2	6.31E0	1.04E+3	9.34E+1	9E-2	20	4.24E+1	1E0
11	2.18E+2	1E+1	1.04E+3	8.6E+1	8.3E-2	20	4.23E+1	1E0
